Keyword;Position;Previous Position;Search Volume;CPC;Url;Traffic;Traffic (%);Competition;Keyword Difficulty;Intents;Trends
how much do you get paid to foster;1;1;590;1.49;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;77;0.48;0.59;22.00;1;0.67,0.54,1.00,0.67,0.81,0.81,0.54,0.67,0.54,0.67,0.44,0.54
fostering babies;1;1;590;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;77;0.48;0.00;11.00;1;0.54,1.00,1.00,1.00,0.81,1.00,1.00,0.81,0.66,0.66,0.66,0.81
how much do you get paid for fostering;1;1;590;1.50;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;77;0.48;0.65;16.00;1;1.00,1.00,0.81,0.67,0.81,0.67,0.81,0.54,0.36,0.67,0.54,0.44
how much foster parents get paid;1;1;590;1.31;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;77;0.48;0.56;16.00;1;0.03,0.07,0.30,0.08,0.05,0.07,0.16,0.20,1.00,0.08,0.04,0.11
national fostering group bolton;1;1;90;2.79;https://www.nationalfosteringgroup.co.uk/;72;0.45;0.29;37.00;2;0.52,0.29,1.00,0.82,0.64,1.00,0.52,0.82,0.41,0.11,0.11,0.17
chart reward;4;4;1900;0.25;https://www.nationalfosteringgroup.co.uk/news-and-blog/how-to-use-a-rewards-chart-successfully/;66;0.41;1.00;28.00;1;0.04,0.02,0.01,0.29,1.00,0.54,0.43,0.36,0.81,0.65,0.54,0.16
respite foster care;2;2;1000;4.45;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;65;0.40;0.50;12.00;1;0.45,0.62,0.62,0.81,1.00,0.81,0.62,0.62,0.45,0.55,0.45,0.55
reach out care;1;1;260;2.90;https://www.nationalfosteringgroup.co.uk/reach-out-care/;64;0.40;0.03;29.00;0;0.29,0.36,0.29,0.29,0.36,0.29,0.23,0.29,0.29,0.36,0.23,0.23
foster parent infants;1;1;480;3.20;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;63;0.39;0.59;10.00;1;0.00,0.07,0.26,1.00,0.88,0.88,0.59,0.59,0.39,0.59,0.32,0.00
how much do you get paid for foster care;1;1;480;1.49;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;63;0.39;0.59;22.00;1;0.12,0.12,0.29,0.23,0.12,1.00,0.67,1.00,1.00,0.81,0.36,0.67
fostering babies uk;1;1;480;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;63;0.39;0.00;15.00;1;0.35,0.81,0.81,0.66,0.81,1.00,1.00,1.00,0.54,0.54,0.54,0.54
how much do you get for fostering a child;2;2;880;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;57;0.35;0.00;16.00;1;0.30,0.41,0.36,0.36,0.41,0.36,1.00,0.36,0.24,0.00,0.36,0.36
foster care uk;3;3;1300;5.18;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;57;0.35;0.64;41.00;1;0.52,0.68,0.68,0.68,0.52,0.68,0.68,0.52,0.84,0.68,0.52,0.52
emergency foster carer;1;1;210;4.53;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/emergency-foster-care/;52;0.32;0.63;8.00;1;0.54,1.00,0.81,0.43,0.35,0.29,0.35,0.29,0.35,0.29,0.35,0.22
foster baby;1;1;390;3.20;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;51;0.32;0.59;10.00;1;0.14,0.21,0.21,0.21,0.21,0.21,0.26,1.00,0.39,0.48,0.48,0.59
fostering infants;1;1;390;3.20;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;51;0.32;0.59;9.00;1;0.67,0.07,0.29,0.10,0.07,1.00,0.67,0.67,0.44,0.67,0.36,0.54
how much do you get for fostering a child uk;1;1;390;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;51;0.32;0.00;17.00;1;1.00,0.36,0.36,0.30,0.20,0.16,0.20,0.20,0.13,0.13,0.13,0.16
nfg;1;1;390;0.00;https://www.nationalfosteringgroup.co.uk/;51;0.32;0.33;74.00;1;0.44,0.54,0.44,0.44,0.67,0.44,0.36,0.44,0.44,0.54,0.36,0.36
fostering uk;5;5;1600;5.18;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;48;0.30;0.64;49.00;1;0.44,0.44,0.55,0.65,0.44,0.44,0.44,0.44,0.65,0.44,0.55,0.55
supervising social worker jobs;3;3;720;0.48;https://www.nationalfosteringgroup.co.uk/careers/work-for-us/social-work/supervising-social-worker/;46;0.28;0.11;14.00;0;1.00,0.72,0.59,0.72,0.88,0.72,0.59,0.72,0.59,0.72,0.59,0.48
short term foster care;2;2;720;3.49;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/short-term-fostering/;46;0.28;0.34;9.00;1;0.21,0.88,0.88,0.72,0.72,1.00,0.88,0.72,0.48,0.48,0.48,0.48
find foster;5;5;1300;0.00;https://www.nationalfosteringgroup.co.uk/find-our-agencies/fostering-in-london/;45;0.28;0.33;37.00;1;0.03,0.01,0.54,0.03,0.02,0.29,0.43,0.36,0.36,0.36,0.16,0.81
foster carer;6;6;1900;5.91;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/becoming-a-foster-carer/;45;0.28;0.61;24.00;1,2;0.44,0.44,0.44,0.66,0.44,0.44,0.44,1.00,0.44,0.36,0.36,0.66
reward chart;8;8;2400;0.25;https://www.nationalfosteringgroup.co.uk/news-and-blog/how-to-use-a-rewards-chart-successfully/;45;0.28;1.00;28.00;1,3;0.43,0.36,0.54,0.43,0.43,0.15,0.43,0.43,0.36,0.28,0.28,0.36
foster to foster;5;5;4400;5.67;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/;44;0.27;0.61;34.00;1;0.00,0.16,0.81,0.12,0.24,0.19,1.00,0.36,0.29,0.10,0.29,0.29
what is the foster system;3;3;1000;2.40;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;44;0.27;0.19;31.00;1;0.81,0.10,0.16,1.00,1.00,0.62,0.55,0.62,0.55,0.62,0.36,0.81
what is foster care;1;1;1000;2.40;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;44;0.27;0.19;27.00;1;0.81,0.62,0.55,1.00,0.62,0.81,0.62,0.62,0.62,0.55,0.62,0.81
fostering kids;1;1;170;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;42;0.26;0.00;57.00;1;0.65,1.00,1.00,0.80,0.65,0.53,0.53,0.65,0.53,0.65,0.53,0.65
how much do i get paid for fostering;1;1;320;1.34;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;42;0.26;0.58;16.00;1;0.08,0.06,0.16,0.20,0.30,0.36,0.13,0.30,0.16,0.16,0.24,0.20
fostering siblings;1;1;320;3.30;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-siblings/;42;0.26;0.35;11.00;1;0.11,0.81,1.00,0.81,0.66,0.81,0.54,0.44,0.28,0.35,0.35,0.18
do foster carers get paid;1;1;320;1.52;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;42;0.26;0.49;19.00;1;0.35,0.66,0.81,0.66,0.66,0.66,1.00,0.81,0.54,0.43,0.54,0.43
fostering solutions stafford;1;1;170;2.87;https://www.nationalfosteringgroup.co.uk/fostering-solutions/midlands/;42;0.26;0.11;15.00;1,3;0.07,0.28,0.28,0.53,0.82,0.53,0.66,1.00,1.00,0.05,0.17,0.28
how much does foster care pay;1;1;320;1.46;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;42;0.26;0.56;19.00;1;0.44,0.44,0.36,0.29,0.29,0.44,0.29,0.44,0.54,0.29,0.36,0.36
how much are foster parents paid;1;1;320;1.43;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;42;0.26;0.60;17.00;1;0.54,0.44,0.54,0.44,0.44,0.36,0.54,0.66,0.36,0.44,0.44,0.36
how much do you get for fostering;1;1;480;1.72;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;39;0.24;0.61;16.00;1;0.66,0.66,0.81,0.81,0.81,0.66,0.54,0.54,0.81,0.54,0.54,0.54
rewards chart;3;3;480;0.23;https://www.nationalfosteringgroup.co.uk/news-and-blog/how-to-use-a-rewards-chart-successfully/;39;0.24;1.00;28.00;1;0.24,0.44,0.11,0.44,0.20,0.11,0.30,0.11,0.08,0.07,0.07,0.05
fostering the;3;3;1600;2.57;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;38;0.23;0.33;24.00;1;0.19,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.10,0.81
what disqualifies you from being a foster parent uk;2;2;590;2.76;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/what-can-disqualify-you-from-fostering-a-child/;38;0.23;0.57;7.00;1;0.81,0.81,0.81,0.67,0.67,0.67,0.67,0.67,0.54,0.54,0.44,0.54
foster care meaning;2;2;590;2.33;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;38;0.23;0.20;23.00;1;0.39,0.88,0.72,0.72,0.59,0.59,0.59,0.59,0.48,0.39,0.39,0.39
how long does it take to become a foster carer;2;2;590;4.72;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/becoming-a-foster-carer/;38;0.23;0.59;11.00;1;0.29,0.81,0.81,0.67,0.81,1.00,0.67,0.67,0.67,0.67,0.67,0.67
fostering a baby;1;1;260;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;34;0.21;0.00;9.00;1;0.43,0.81,0.81,0.81,0.65,1.00,0.81,0.81,0.53,0.65,0.81,0.81
foster parent training;1;1;260;3.25;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/training/;34;0.21;0.36;19.00;1;0.43,0.54,0.66,1.00,0.81,1.00,0.66,0.54,0.35,0.29,0.29,0.35
fostering a sibling;1;1;260;3.30;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-siblings/;34;0.21;0.35;13.00;1;0.23,0.11,0.18,0.81,1.00,0.81,0.81,0.54,0.08,0.23,0.11,0.11
emergency foster parent;1;1;260;4.25;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/emergency-foster-care/;34;0.21;0.59;18.00;1;1.00,0.81,0.66,0.66,0.54,0.54,0.66,0.35,0.29,0.35,0.22,0.29
fostering agency jobs;1;1;260;1.85;https://www.nationalfosteringgroup.co.uk/careers/job-vacancies/;34;0.21;0.36;14.00;0;0.05,0.20,0.16,0.16,0.11,0.13,0.11,0.13,0.13,0.08,0.13,0.11
fostering newborns;1;1;260;3.20;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;34;0.21;0.59;9.00;1;0.72,0.21,0.21,0.32,0.39,0.26,0.32,0.21,0.11,0.14,0.14,0.14
how much do foster parents get;1;1;260;1.61;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;34;0.21;0.54;16.00;1;0.54,0.43,0.43,0.43,0.35,0.43,0.66,0.66,0.54,0.66,0.35,0.54
do foster carers pay council tax;6;6;1300;1.81;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/tax-and-foster-care/;31;0.19;0.20;11.00;1;0.84,0.84,0.84,0.68,0.68,0.68,0.68,0.68,0.68,0.52,0.52,0.46
how much do you get paid to foster a child;2;2;480;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;31;0.19;0.00;20.00;1;0.16,0.20,0.24,0.20,0.20,0.20,0.20,0.20,0.16,0.10,0.20,0.20
how much do you get as a foster carer;1;1;390;1.72;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;31;0.19;0.61;20.00;1;0.66,0.29,0.81,0.66,0.44,0.44,0.36,0.44,0.66,0.44,0.44,0.44
how much does fostering pay;1;1;390;1.46;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;31;0.19;0.56;16.00;1;0.66,0.81,0.81,0.66,0.54,0.66,0.44,0.54,0.66,0.36,0.44,0.44
fostering pay;6;6;1300;1.83;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;31;0.19;0.57;18.00;1;0.52,0.52,0.52,0.52,0.68,0.68,0.84,1.00,0.52,0.46,0.52,0.52
fostering london;2;2;390;4.58;https://www.nationalfosteringgroup.co.uk/find-our-agencies/fostering-in-london/;31;0.19;0.10;24.00;1;0.23,0.23,0.81,0.81,0.81,1.00,1.00,0.81,0.66,0.35,0.35,0.54
short term fostering;3;3;720;5.40;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/short-term-fostering/;31;0.19;0.48;9.00;1;0.24,0.76,1.00,0.76,0.67,0.67,0.67,0.55,0.30,0.36,0.36,0.36
do foster parents get paid;1;1;390;1.52;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;31;0.19;0.49;21.00;1;0.54,1.00,1.00,1.00,0.81,0.66,0.81,0.81,0.66,0.66,0.81,0.81
whats foster care;2;2;480;2.40;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;31;0.19;0.19;25.00;1;0.08,0.08,0.20,0.08,0.02,0.02,0.02,0.76,0.45,0.76,0.76,1.00
foster siblings;1;1;390;3.30;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-siblings/;31;0.19;0.35;12.00;1;0.15,0.36,0.36,0.81,1.00,1.00,0.66,0.54,0.29,0.23,0.29,0.15
foster care bedroom requirements uk;2;2;480;3.09;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/spare-rooms-and-fostering/;31;0.19;0.48;6.00;1;0.44,0.81,1.00,0.81,0.66,0.81,0.66,0.54,0.54,0.54,0.54,0.54
foster care pay;4;4;880;1.83;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;30;0.18;0.57;19.00;1;0.30,0.34,0.30,0.24,0.30,0.30,0.30,0.55,0.24,0.44,0.34,0.16
how much do foster carers get paid;5;5;1300;1.31;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;28;0.17;0.56;18.00;1;0.52,0.68,0.37,0.52,0.68,0.84,0.68,1.00,0.84,0.52,0.68,0.46
fostering agency;6;6;1300;7.89;https://www.nationalfosteringgroup.co.uk/;28;0.17;0.48;61.00;0;0.16,0.52,0.68,0.68,0.68,0.84,1.00,1.00,0.52,0.52,0.46,0.52
nfg charms;2;2;210;0.00;https://www.nationalfosteringgroup.co.uk/;27;0.16;0.33;11.00;1;0.53,0.53,0.43,0.53,0.43,0.53,0.43,1.00,0.66,0.53,0.43,0.23
being in foster care;1;1;110;5.35;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;27;0.16;0.56;28.00;1;0.52,0.23,0.42,0.80,0.80,0.66,0.52,0.52,0.42,0.33,0.33,0.33
foster a baby;1;1;210;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;27;0.16;0.00;8.00;1;0.34,0.53,0.53,0.53,0.53,0.81,1.00,1.00,0.65,0.53,0.53,0.53
how to foster a baby;1;1;210;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;27;0.16;0.00;11.00;1;0.02,0.35,0.43,0.53,0.53,0.82,1.00,0.82,0.35,0.43,0.43,0.43
how much money do you get for fostering;1;1;210;1.54;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;27;0.16;0.52;16.00;1;0.43,0.81,1.00,1.00,0.81,0.65,0.53,0.65,0.43,0.43,0.34,0.43
can you foster with a criminal record uk;1;1;210;4.55;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/what-can-disqualify-you-from-fostering-a-child/;27;0.16;0.37;7.00;1;0.43,0.82,1.00,0.82,0.43,0.53,0.66,0.82,0.43,0.35,0.28,0.28
how much are foster carers paid;1;1;210;1.54;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;27;0.16;0.57;16.00;1;0.43,0.54,0.54,0.43,0.35,0.43,1.00,0.43,0.43,0.29,0.22,0.35
independent fostering agency jobs;1;1;110;1.07;https://www.nationalfosteringgroup.co.uk/careers/job-vacancies/;27;0.16;0.37;9.00;0;0.52,0.42,1.00,0.80,0.33,0.42,0.52,0.42,0.33,0.23,0.52,0.52
can i foster with a criminal record;1;1;210;4.15;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/what-can-disqualify-you-from-fostering-a-child/;27;0.16;0.69;7.00;1;0.29,0.35,0.66,1.00,0.81,0.66,0.54,0.29,0.29,0.22,0.22,0.22
define foster care;1;1;210;2.57;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;27;0.16;0.18;26.00;1;0.65,0.43,0.43,0.34,0.53,0.65,1.00,1.00,0.65,0.65,0.81,0.81
i want to foster but don't have a spare room;1;1;210;5.01;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/spare-rooms-and-fostering/;27;0.16;0.58;6.00;1;0.66,0.82,0.82,1.00,0.53,0.35,0.43,0.35,0.28,0.35,0.35,0.28
emergency foster care for babies uk;1;1;210;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/emergency-foster-care/;27;0.16;0.00;18.00;1;0.53,1.00,1.00,0.81,0.81,0.65,1.00,0.53,0.21,0.28,0.34,0.43
heath farm fostering;1;1;110;3.91;https://www.nationalfosteringgroup.co.uk/heath-farm/;27;0.16;0.09;16.00;1;0.66,0.80,0.42,0.52,0.52,0.66,0.52,0.66,0.42,0.66,0.33,0.42
how much do you get paid for fostering a child;1;1;210;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;27;0.16;0.00;16.00;1;0.34,1.00,1.00,1.00,0.80,0.80,0.80,0.65,0.65,0.53,0.53,0.80
respite care foster care;1;1;210;4.45;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;27;0.16;0.50;9.00;1;1.00,0.36,0.36,0.29,0.36,0.29,0.36,0.19,0.15,0.19,0.15,0.15
foster care;6;7;5400;5.67;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;27;0.16;0.61;33.00;1;0.36,0.24,0.66,0.29,0.29,0.24,1.00,0.29,0.24,0.24,0.24,0.36
how much does a foster carer get paid uk;1;1;210;1.52;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;27;0.16;0.56;19.00;1;0.17,1.00,1.00,0.82,0.53,0.66,0.82,0.53,0.35,0.35,0.35,0.43
respite foster carer;1;1;210;4.45;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;27;0.16;0.50;12.00;1;0.43,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.53,0.53,0.53,0.53
fostering relations;1;1;110;0.00;https://www.nationalfosteringgroup.co.uk/fostering-relations/;27;0.16;0.03;20.00;1;0.42,1.00,1.00,0.80,0.33,0.42,0.23,0.33,0.33,0.33,0.33,0.33
fostering jobs;2;2;320;4.36;https://www.nationalfosteringgroup.co.uk/careers/job-vacancies/;26;0.16;0.46;7.00;0;0.66,1.00,0.81,1.00,0.81,0.66,0.54,0.54,0.54,0.43,0.66,0.54
what disqualifies you from being a foster parent;1;1;320;3.36;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/who-can-foster/what-can-disqualify-you-from-fostering-a-child/;26;0.16;0.40;8.00;1;0.18,0.66,0.81,0.81,0.66,0.81,1.00,0.81,0.54,0.43,0.22,0.22
parent and child fostering;3;3;590;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/parent-and-child-fostering/;25;0.15;0.00;9.00;1;0.36,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.54,0.54,0.44,0.54
fostering social worker jobs;3;3;390;0.92;https://www.nationalfosteringgroup.co.uk/careers/work-for-us/social-work/supervising-social-worker/;25;0.15;0.11;10.00;0;0.44,0.66,0.44,0.54,0.54,0.54,0.29,0.44,0.66,0.54,0.44,0.54
what is fostering;3;3;590;2.08;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;25;0.15;0.18;17.00;1;0.81,1.00,0.81,1.00,0.81,0.81,0.81,0.81,0.54,0.54,0.44,0.66
how much do foster carers get paid per child;2;2;390;0.00;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;25;0.15;0.00;20.00;1;0.81,1.00,1.00,1.00,0.81,0.81,0.66,0.66,0.81,0.44,0.01,0.44
long term fostering;2;2;720;4.29;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/long-term-fostering/;25;0.15;0.40;10.00;1;0.24,0.76,1.00,0.76,0.55,0.55,0.55,0.55,0.36,0.36,0.36,0.36
foster agencies near me;2;2;720;11.26;https://www.nationalfosteringgroup.co.uk/find-our-agencies/;25;0.15;0.50;33.00;3;1.00,0.59,0.59,0.72,0.72,0.72,0.59,0.59,0.72,0.59,0.72,0.59
temporary foster care;2;2;390;3.31;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/short-term-fostering/;25;0.15;0.54;12.00;1;0.35,0.66,0.81,1.00,0.81,0.81,0.81,0.81,0.44,0.44,0.54,0.54
foster care definition;3;3;390;2.57;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/what-is-fostering/;25;0.15;0.18;27.00;1;0.54,0.81,0.81,1.00,1.00,1.00,0.81,1.00,0.66,0.54,0.43,0.54
reward chart for kids;8;8;1300;0.00;https://www.nationalfosteringgroup.co.uk/news-and-blog/how-to-use-a-rewards-chart-successfully/;24;0.15;0.00;26.00;1;0.44,0.44,0.65,0.44,0.65,0.44,0.44,0.24,0.55,0.34,0.34,0.24
respite foster parent;1;1;170;4.25;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/stayover-care/;22;0.13;0.59;14.00;1;0.26,0.26,0.26,0.26,0.21,0.11,0.14,0.09,0.11,0.11,0.14,0.14
how much do foster parents make;1;1;170;1.61;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/support-and-benefits/financial-support/fostering-allowance/;22;0.13;0.54;20.00;1;0.23,0.35,0.28,0.44,0.15,0.28,0.23,0.44,0.54,0.35,0.28,0.28
n f g;1;1;170;0.00;https://www.nationalfosteringgroup.co.uk/;22;0.13;0.33;65.00;1;0.00,0.00,0.00,0.54,0.54,0.44,0.44,0.00,0.44,0.54,0.28,0.44
emergency foster placement;1;1;170;4.64;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/emergency-foster-care/;22;0.13;0.53;8.00;1;0.43,0.43,0.53,1.00,0.81,0.65,0.53,0.34,0.34,0.34,0.34,0.34
temporary foster parent;1;1;170;3.31;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/short-term-fostering/;22;0.13;0.54;16.00;1;0.29,0.14,0.22,1.00,0.66,0.54,0.43,0.43,0.18,0.22,0.14,0.14
jay fostering;1;1;90;2.98;https://www.nationalfosteringgroup.co.uk/jay-fostering/;22;0.13;0.25;14.00;1;0.50,0.78,1.00,0.78,0.78,1.00,0.78,1.00,0.64,0.50,0.50,0.07
fostering newborns uk;1;1;170;2.95;https://www.nationalfosteringgroup.co.uk/thinking-about-fostering/types-of-foster-care/fostering-a-baby/;22;0.13;0.66;9.00;1;0.34,0.21,0.34,0.81,1.00,0.81,0.65,0.81,0.34,0.34,0.34,0.34
