domain,sources,decision,confidence,category,dr,ascore,traffic,positions,is_spam,links,ip,country,first,last,topical,signals,evidence,qa_note
novaland-oceanresidence.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,23,172.253.139.132,us,2026-02-28,2026-09-01,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
odicdsfe.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,27,172.253.139.132,us,2026-03-01,2026-09-01,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
olspsystem.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,31,172.253.139.132,us,2026-03-01,2026-08-28,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
oozeas.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,146,172.253.122.132,us,2026-03-14,2026-08-28,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
palmspringsrentaljinokoku.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,172.253.63.132,us,2026-03-24,2026-03-24,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
pasteurnorte29.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,172.253.63.132,us,2026-03-18,2026-08-08,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
picturewindowtenyude.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,173.194.45.132,us,2026-04-15,2026-08-08,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
replacementwindowsctankasu.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.251.16.132,us,2026-03-04,2026-03-04,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
replacementwindowstodays.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,6,173.194.45.132,us,2025-10-18,2026-08-08,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
slidingdoorantikreigai.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,3,172.253.115.132,us,2026-04-10,2026-06-14,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
vabeatzweser.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,7,142.250.31.132,us,2026-03-27,2026-08-31,,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
vinylwindowszosima.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,172.253.62.132,us,2026-04-16,2026-05-12,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowcompaniesbado.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,2,142.251.111.132,us,2026-03-24,2026-08-13,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowcompaniesbaisashi.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.251.179.132,us,2026-02-26,2026-08-25,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowglassreplacementmarik.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,3,172.253.62.132,us,2026-03-19,2026-06-02,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowglassreplacementnshinso.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,142.251.179.132,us,2026-03-25,2026-03-25,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowpanestsuihasu.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,6,142.251.179.132,us,2026-03-06,2026-03-25,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowpaneszor.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,10,172.253.139.132,us,2026-03-28,2026-08-28,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowreplacementpodrya.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,5,142.251.163.132,us,2026-05-23,2026-07-14,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowreplacementyubirige.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,3,142.251.111.132,us,2026-04-27,2026-08-11,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowstylesrabokume.blogspot.com,semrush,DISAVOW,HIGH,Blogspot PBN / spam post,0.0,2,0,0,,1,192.178.218.132,us,2026-04-18,2026-04-18,Y,1,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
all-aged-domains.com,semrush,DISAVOW,HIGH,Expired-domain / auto network,0.0,5,0,0,,20,172.67.215.228,,2025-10-24,2026-09-01,,1,footprint: Expired-domain / auto network | no organic traffic/kw (auth=5),
alltopleveldomains.space,semrush,DISAVOW,HIGH,Expired-domain / auto network,0.0,2,0,0,,15,118.139.181.85,sg,2026-02-08,2026-04-30,,3,"footprint: Expired-domain / auto network | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
domraider.eu.com,semrush,DISAVOW,HIGH,Expired-domain / auto network,0.0,0,0,0,,9,104.21.16.138,,2026-08-11,2026-09-01,,1,"footprint: Expired-domain / auto network | dead (auth=0,0 traffic,0 kw)",
domraider.gb.net,semrush,DISAVOW,HIGH,Expired-domain / auto network,0.0,0,0,0,,13,104.21.94.138,,2026-08-10,2026-08-30,,1,"footprint: Expired-domain / auto network | dead (auth=0,0 traffic,0 kw)",
domraider.it.com,semrush,DISAVOW,HIGH,Expired-domain / auto network,0.0,0,0,0,,10,104.21.1.165,,2026-08-16,2026-08-29,,1,"footprint: Expired-domain / auto network | dead (auth=0,0 traffic,0 kw)",
centralc.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,2,0,0,,1,172.66.44.212,,2026-03-08,2026-08-23,,1,"footprint: Free-host throwaway page | dead (auth=2,0 traffic,0 kw)",
flamingos.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,2,0,0,,2,172.66.47.118,,2025-11-29,2026-08-02,,1,"footprint: Free-host throwaway page | dead (auth=2,0 traffic,0 kw)",
global-rank.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,4,0,0,,1,172.66.44.155,,2026-07-27,2026-07-27,,1,footprint: Free-host throwaway page | no organic traffic/kw (auth=4),
global-ranks.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,4,0,0,,1,172.66.47.146,,2025-12-22,2026-05-18,,1,footprint: Free-host throwaway page | no organic traffic/kw (auth=4),
gracez.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,2,0,0,,2,172.66.46.243,,2026-04-04,2026-05-24,,1,"footprint: Free-host throwaway page | dead (auth=2,0 traffic,0 kw)",
huldra.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,2,0,0,,6,172.66.44.118,,2025-12-13,2026-08-30,,1,"footprint: Free-host throwaway page | dead (auth=2,0 traffic,0 kw)",
naiad.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,3,0,0,,1,172.66.44.199,,2026-05-07,2026-08-23,,1,"footprint: Free-host throwaway page | dead (auth=3,0 traffic,0 kw)",
rosa-humphrey.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,2,0,0,,1,172.66.44.133,,2026-01-31,2026-07-28,,1,"footprint: Free-host throwaway page | dead (auth=2,0 traffic,0 kw)",
webbys.pages.dev,semrush,DISAVOW,HIGH,Free-host throwaway page,0.0,4,0,0,,1,172.66.47.196,,2026-03-10,2026-07-18,,1,footprint: Free-host throwaway page | no organic traffic/kw (auth=4),
bestnz-poker-casinoslot.com,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,2,0,0,,3,172.67.189.170,,2026-08-27,2026-08-30,,1,"footprint: Gambling / casino spam | dead (auth=2,0 traffic,0 kw)",
betwinnermirror.com,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,2,0,0,,2,172.67.172.111,,2026-08-27,2026-08-28,,1,"footprint: Gambling / casino spam | dead (auth=2,0 traffic,0 kw)",
casinooftheking.com,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,2,0,0,,4,172.67.222.57,,2026-08-25,2026-08-31,,1,"footprint: Gambling / casino spam | dead (auth=2,0 traffic,0 kw)",
hotonlinegaming.com,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,3,0,0,,8,172.67.129.112,,2026-08-24,2026-08-31,,1,"footprint: Gambling / casino spam | dead (auth=3,0 traffic,0 kw)",
m98ufa.com,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,5,0,0,,6,172.67.170.144,,2026-07-01,2026-08-30,,1,footprint: Gambling / casino spam | no organic traffic/kw (auth=5),
pick4d.live,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,3,0,0,,3,67.223.118.29,us,2026-02-03,2026-07-21,,2,"footprint: Gambling / casino spam | link-network IP 67.223.118.29 (+5 siblings) | dead (auth=3,0 traffic,0 kw)",
pokerplayer365.com,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,5,0,0,,1,209.205.209.102,us,2026-02-09,2026-07-31,,1,footprint: Gambling / casino spam | no organic traffic/kw (auth=5),
truebookies.com,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,2,0,0,,1,172.67.73.211,,2026-04-15,2026-04-15,,1,"footprint: Gambling / casino spam | dead (auth=2,0 traffic,0 kw)",
ufabettererm4.com,semrush,DISAVOW,HIGH,Gambling / casino spam,0.0,2,0,0,,4,104.21.9.132,,2026-08-28,2026-08-30,,1,"footprint: Gambling / casino spam | dead (auth=2,0 traffic,0 kw)",
99backlinksbuy.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,3,203.161.54.114,us,2026-07-01,2026-08-24,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 203.161.54.114 (+26 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
allbaclinks.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,3,203.161.54.114,us,2026-07-02,2026-08-28,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 203.161.54.114 (+26 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
atozbacklinks.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,3,203.161.54.114,us,2026-07-02,2026-08-21,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 203.161.54.114 (+26 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
backlink-agency.online,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,1,172.67.220.104,,2026-04-29,2026-05-19,,1,"footprint: Link-selling / SEO-service PBN | dead (auth=2,0 traffic,0 kw)",
backlink-agency.pro,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,2,172.67.147.91,,2026-02-28,2026-03-21,,1,"footprint: Link-selling / SEO-service PBN | dead (auth=2,0 traffic,0 kw)",
backlinkboosters.online,ahrefs,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,0,0,0,TRUE,2,172.67.190.21,,2025-12-19,2026-06-06,,2,"footprint: Link-selling / SEO-service PBN | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
backlinkbuilders.pro,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,1,104.21.91.60,,2025-09-26,2026-03-13,Y,1,"footprint: Link-selling / SEO-service PBN | dead (auth=2,0 traffic,0 kw)",
backlinkhouse.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,28,118.139.161.199,sg,2026-07-03,2026-08-31,Y,3,"footprint: Link-selling / SEO-service PBN | link-network IP 118.139.161.199 (+4 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
backlinkon.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,27,118.139.161.199,sg,2026-07-01,2026-08-29,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 118.139.161.199 (+4 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
backlinkoptimizer.pro,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,2,172.67.157.196,,2025-12-06,2026-03-13,,1,"footprint: Link-selling / SEO-service PBN | dead (auth=2,0 traffic,0 kw)",
backlinkpartners.shop,ahrefs,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,0,0,0,TRUE,2,104.21.41.65,,2026-07-28,2026-08-27,,2,"footprint: Link-selling / SEO-service PBN | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
backlinkrise.pro,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,3,104.21.36.17,,2026-02-17,2026-03-10,,1,"footprint: Link-selling / SEO-service PBN | dead (auth=2,0 traffic,0 kw)",
backlinks-checker.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,6,0,0,,8,195.20.19.178,md,2026-03-17,2026-08-09,,3,footprint: Link-selling / SEO-service PBN | link-network IP 195.20.19.178 (+18 siblings) | Moldova spam cluster | no organic traffic/kw (auth=6),
backlinksbank.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,3,0,0,,27,118.139.161.199,sg,2026-07-03,2026-08-29,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 118.139.161.199 (+4 siblings) | known link-farm IP block | dead (auth=3,0 traffic,0 kw)",
backlinkshouse.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,21,118.139.161.199,sg,2026-07-06,2026-09-01,Y,3,"footprint: Link-selling / SEO-service PBN | link-network IP 118.139.161.199 (+4 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
backlinksolutions.info,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,5,172.67.214.7,,2025-08-30,2026-05-09,,1,"footprint: Link-selling / SEO-service PBN | dead (auth=2,0 traffic,0 kw)",
backlinksplace.site,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,0,0,0,,1,13.140.137.15,fr,2026-07-17,2026-07-17,,1,"footprint: Link-selling / SEO-service PBN | dead (auth=0,0 traffic,0 kw)",
backlinkstree.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,28,118.139.161.199,sg,2026-07-10,2026-08-31,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 118.139.161.199 (+4 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
bestrankbacklinks.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,3,203.161.54.114,us,2026-06-30,2026-08-28,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 203.161.54.114 (+26 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
bestseobacklinkforsite.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,3,203.161.54.114,us,2026-07-01,2026-08-29,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 203.161.54.114 (+26 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
bestsitesbacklinks.com,semrush,DISAVOW,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,,3,203.161.54.114,us,2026-06-30,2026-08-28,,3,"footprint: Link-selling / SEO-service PBN | link-network IP 203.161.54.114 (+26 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
