domain,sources,confidence,category,dr,ascore,traffic,positions,is_spam,links,ip,country,first,last,evidence
novaland-oceanresidence.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,23,172.253.139.132,us,2026-02-28,2026-09-01,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
odicdsfe.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,27,172.253.139.132,us,2026-03-01,2026-09-01,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
olspsystem.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,31,172.253.139.132,us,2026-03-01,2026-08-28,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
oozeas.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,146,172.253.122.132,us,2026-03-14,2026-08-28,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
palmspringsrentaljinokoku.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,172.253.63.132,us,2026-03-24,2026-03-24,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
pasteurnorte29.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,172.253.63.132,us,2026-03-18,2026-08-08,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
picturewindowtenyude.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,173.194.45.132,us,2026-04-15,2026-08-08,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
replacementwindowsctankasu.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.251.16.132,us,2026-03-04,2026-03-04,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
replacementwindowstodays.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,6,173.194.45.132,us,2025-10-18,2026-08-08,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
slidingdoorantikreigai.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,3,172.253.115.132,us,2026-04-10,2026-06-14,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
vabeatzweser.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,7,142.250.31.132,us,2026-03-27,2026-08-31,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
vinylwindowszosima.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,172.253.62.132,us,2026-04-16,2026-05-12,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowcompaniesbado.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,2,142.251.111.132,us,2026-03-24,2026-08-13,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowcompaniesbaisashi.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.251.179.132,us,2026-02-26,2026-08-25,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowglassreplacementmarik.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,3,172.253.62.132,us,2026-03-19,2026-06-02,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowglassreplacementnshinso.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,142.251.179.132,us,2026-03-25,2026-03-25,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowpanestsuihasu.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,6,142.251.179.132,us,2026-03-06,2026-03-25,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowpaneszor.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,10,172.253.139.132,us,2026-03-28,2026-08-28,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowreplacementpodrya.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,5,142.251.163.132,us,2026-05-23,2026-07-14,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowreplacementyubirige.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,3,142.251.111.132,us,2026-04-27,2026-08-11,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
windowstylesrabokume.blogspot.com,semrush,HIGH,Blogspot PBN / spam post,0.0,2,0,0,False,1,192.178.218.132,us,2026-04-18,2026-04-18,"footprint: Blogspot PBN / spam post | S:dead (auth=2, 0 traffic, 0 keywords)"
all-aged-domains.com,semrush,HIGH,Expired-domain / auto network,0.0,5,0,0,False,20,172.67.215.228,,2025-10-24,2026-09-01,footprint: Expired-domain / auto network | S:no organic traffic/keywords (auth=5)
alltopleveldomains.space,semrush,HIGH,Expired-domain / auto network,0.0,2,0,0,False,15,118.139.181.85,sg,2026-02-08,2026-04-30,"footprint: Expired-domain / auto network | S:link-network IP 118.139.181.85 (+31 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
domraider.eu.com,semrush,HIGH,Expired-domain / auto network,0.0,0,0,0,False,9,104.21.16.138,,2026-08-11,2026-09-01,"footprint: Expired-domain / auto network | S:dead (auth=0, 0 traffic, 0 keywords)"
domraider.gb.net,semrush,HIGH,Expired-domain / auto network,0.0,0,0,0,False,13,104.21.94.138,,2026-08-10,2026-08-30,"footprint: Expired-domain / auto network | S:dead (auth=0, 0 traffic, 0 keywords)"
domraider.it.com,semrush,HIGH,Expired-domain / auto network,0.0,0,0,0,False,10,104.21.1.165,,2026-08-16,2026-08-29,"footprint: Expired-domain / auto network | S:dead (auth=0, 0 traffic, 0 keywords)"
centralc.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,2,0,0,False,1,172.66.44.212,,2026-03-08,2026-08-23,"footprint: Free-host throwaway page | S:dead (auth=2, 0 traffic, 0 keywords)"
flamingos.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,2,0,0,False,2,172.66.47.118,,2025-11-29,2026-08-02,"footprint: Free-host throwaway page | S:dead (auth=2, 0 traffic, 0 keywords)"
global-rank.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,4,0,0,False,1,172.66.44.155,,2026-07-27,2026-07-27,footprint: Free-host throwaway page | S:no organic traffic/keywords (auth=4)
global-ranks.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,4,0,0,False,1,172.66.47.146,,2025-12-22,2026-05-18,footprint: Free-host throwaway page | S:no organic traffic/keywords (auth=4)
gracez.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,2,0,0,False,2,172.66.46.243,,2026-04-04,2026-05-24,"footprint: Free-host throwaway page | S:dead (auth=2, 0 traffic, 0 keywords)"
huldra.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,2,0,0,False,6,172.66.44.118,,2025-12-13,2026-08-30,"footprint: Free-host throwaway page | S:dead (auth=2, 0 traffic, 0 keywords)"
naiad.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,3,0,0,False,1,172.66.44.199,,2026-05-07,2026-08-23,"footprint: Free-host throwaway page | S:dead (auth=3, 0 traffic, 0 keywords)"
rosa-humphrey.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,2,0,0,False,1,172.66.44.133,,2026-01-31,2026-07-28,"footprint: Free-host throwaway page | S:dead (auth=2, 0 traffic, 0 keywords)"
webbys.pages.dev,semrush,HIGH,Free-host throwaway page,0.0,4,0,0,False,1,172.66.47.196,,2026-03-10,2026-07-18,footprint: Free-host throwaway page | S:no organic traffic/keywords (auth=4)
bestnz-poker-casinoslot.com,semrush,HIGH,Gambling / casino spam,0.0,2,0,0,False,3,172.67.189.170,,2026-08-27,2026-08-30,"footprint: Gambling / casino spam | S:dead (auth=2, 0 traffic, 0 keywords)"
betwinnermirror.com,semrush,HIGH,Gambling / casino spam,0.0,2,0,0,False,2,172.67.172.111,,2026-08-27,2026-08-28,"footprint: Gambling / casino spam | S:dead (auth=2, 0 traffic, 0 keywords)"
casinooftheking.com,semrush,HIGH,Gambling / casino spam,0.0,2,0,0,False,4,172.67.222.57,,2026-08-25,2026-08-31,"footprint: Gambling / casino spam | S:dead (auth=2, 0 traffic, 0 keywords)"
hotonlinegaming.com,semrush,HIGH,Gambling / casino spam,0.0,3,0,0,False,8,172.67.129.112,,2026-08-24,2026-08-31,"footprint: Gambling / casino spam | S:dead (auth=3, 0 traffic, 0 keywords)"
m98ufa.com,semrush,HIGH,Gambling / casino spam,0.0,5,0,0,False,6,172.67.170.144,,2026-07-01,2026-08-30,footprint: Gambling / casino spam | S:no organic traffic/keywords (auth=5)
pick4d.live,semrush,HIGH,Gambling / casino spam,0.0,3,0,0,False,3,67.223.118.29,us,2026-02-03,2026-07-21,"footprint: Gambling / casino spam | S:link-network IP 67.223.118.29 (+5 sibling domains) | S:dead (auth=3, 0 traffic, 0 keywords)"
pokerplayer365.com,semrush,HIGH,Gambling / casino spam,0.0,5,0,0,False,1,209.205.209.102,us,2026-02-09,2026-07-31,footprint: Gambling / casino spam | S:no organic traffic/keywords (auth=5)
truebookies.com,semrush,HIGH,Gambling / casino spam,0.0,2,0,0,False,1,172.67.73.211,,2026-04-15,2026-04-15,"footprint: Gambling / casino spam | S:dead (auth=2, 0 traffic, 0 keywords)"
ufabettererm4.com,semrush,HIGH,Gambling / casino spam,0.0,2,0,0,False,4,104.21.9.132,,2026-08-28,2026-08-30,"footprint: Gambling / casino spam | S:dead (auth=2, 0 traffic, 0 keywords)"
99backlinksbuy.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,3,203.161.54.114,us,2026-07-01,2026-08-24,"footprint: Link-selling / SEO-service PBN | S:link-network IP 203.161.54.114 (+26 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
allbaclinks.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,3,203.161.54.114,us,2026-07-02,2026-08-28,"footprint: Link-selling / SEO-service PBN | S:link-network IP 203.161.54.114 (+26 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
atozbacklinks.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,3,203.161.54.114,us,2026-07-02,2026-08-21,"footprint: Link-selling / SEO-service PBN | S:link-network IP 203.161.54.114 (+26 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
backlink-agency.online,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,1,172.67.220.104,,2026-04-29,2026-05-19,"footprint: Link-selling / SEO-service PBN | S:dead (auth=2, 0 traffic, 0 keywords)"
backlink-agency.pro,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,2,172.67.147.91,,2026-02-28,2026-03-21,"footprint: Link-selling / SEO-service PBN | S:dead (auth=2, 0 traffic, 0 keywords)"
backlinkboosters.online,ahrefs,HIGH,Link-selling / SEO-service PBN,0.0,0,0,0,True,2,172.67.190.21,,2025-12-19,2026-06-06,"footprint: Link-selling / SEO-service PBN | S:Ahrefs-is_spam=true | S:dead (auth=0, 0 traffic, 0 keywords)"
backlinkbuilders.pro,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,1,104.21.91.60,,2025-09-26,2026-03-13,"footprint: Link-selling / SEO-service PBN | S:dead (auth=2, 0 traffic, 0 keywords)"
backlinkhouse.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,28,118.139.161.199,sg,2026-07-03,2026-08-31,"footprint: Link-selling / SEO-service PBN | S:link-network IP 118.139.161.199 (+4 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
backlinkon.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,27,118.139.161.199,sg,2026-07-01,2026-08-29,"footprint: Link-selling / SEO-service PBN | S:link-network IP 118.139.161.199 (+4 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
backlinkoptimizer.pro,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,2,172.67.157.196,,2025-12-06,2026-03-13,"footprint: Link-selling / SEO-service PBN | S:dead (auth=2, 0 traffic, 0 keywords)"
backlinkpartners.shop,ahrefs,HIGH,Link-selling / SEO-service PBN,0.0,0,0,0,True,2,104.21.41.65,,2026-07-28,2026-08-27,"footprint: Link-selling / SEO-service PBN | S:Ahrefs-is_spam=true | S:dead (auth=0, 0 traffic, 0 keywords)"
backlinkrise.pro,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,3,104.21.36.17,,2026-02-17,2026-03-10,"footprint: Link-selling / SEO-service PBN | S:dead (auth=2, 0 traffic, 0 keywords)"
backlinks-checker.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,6,0,0,False,8,195.20.19.178,md,2026-03-17,2026-08-09,footprint: Link-selling / SEO-service PBN | S:link-network IP 195.20.19.178 (+18 sibling domains) | S:Moldova spam cluster | S:no organic traffic/keywords (auth=6)
backlinksbank.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,3,0,0,False,27,118.139.161.199,sg,2026-07-03,2026-08-29,"footprint: Link-selling / SEO-service PBN | S:link-network IP 118.139.161.199 (+4 sibling domains) | S:known link-farm IP block | S:dead (auth=3, 0 traffic, 0 keywords)"
backlinkshouse.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,21,118.139.161.199,sg,2026-07-06,2026-09-01,"footprint: Link-selling / SEO-service PBN | S:link-network IP 118.139.161.199 (+4 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
backlinksolutions.info,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,5,172.67.214.7,,2025-08-30,2026-05-09,"footprint: Link-selling / SEO-service PBN | S:dead (auth=2, 0 traffic, 0 keywords)"
backlinksplace.site,semrush,HIGH,Link-selling / SEO-service PBN,0.0,0,0,0,False,1,13.140.137.15,fr,2026-07-17,2026-07-17,"footprint: Link-selling / SEO-service PBN | S:dead (auth=0, 0 traffic, 0 keywords)"
backlinkstree.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,28,118.139.161.199,sg,2026-07-10,2026-08-31,"footprint: Link-selling / SEO-service PBN | S:link-network IP 118.139.161.199 (+4 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
bestrankbacklinks.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,3,203.161.54.114,us,2026-06-30,2026-08-28,"footprint: Link-selling / SEO-service PBN | S:link-network IP 203.161.54.114 (+26 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
bestseobacklinkforsite.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,3,203.161.54.114,us,2026-07-01,2026-08-29,"footprint: Link-selling / SEO-service PBN | S:link-network IP 203.161.54.114 (+26 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
bestsitesbacklinks.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,3,203.161.54.114,us,2026-06-30,2026-08-28,"footprint: Link-selling / SEO-service PBN | S:link-network IP 203.161.54.114 (+26 sibling domains) | S:known link-farm IP block | S:dead (auth=2, 0 traffic, 0 keywords)"
blinks.monster,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,34,172.67.161.83,,2025-12-11,2026-08-26,"footprint: Link-selling / SEO-service PBN | S:dead (auth=2, 0 traffic, 0 keywords)"
blinks.sbs,semrush,HIGH,Link-selling / SEO-service PBN,0.0,4,0,0,False,17,104.21.3.70,,2026-01-19,2026-08-28,footprint: Link-selling / SEO-service PBN | S:no organic traffic/keywords (auth=4)
blogerreviewers.com,semrush,HIGH,Link-selling / SEO-service PBN,0.0,2,0,0,False,7,104.21.91.112,,2026-08-24,2026-08-31,"footprint: Link-selling / SEO-service PBN | S:dead (auth=2, 0 traffic, 0 keywords)"
