Referring Domain / URL,Target URL,Anchor Text,Action Recommendation,Primary Risk Factor,Confidence Score,Backlinks,Linking Pages,Unique Anchors,Top Anchor Share,Remediation Priority,Follow (Equity) Links,Exact-Match Anchor %,Branded/URL Anchor %,Median Page AScore,Max Page AScore,Avg External Links,Nofollow %,Sponsored,Topically Relevant,Distinct Targets,Lost %,First Seen,Last Seen,Rationale
bluecantera.com,https://www.performancelab.com/ (+1 more),JOIN OUR TELEGRAM https://t.me/s/darksidelinks,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,25,17,1,100%,P3 - Nofollow only (no equity passed),0,0%,0%,0,0,22429,100%,no,no,2,0%,1772836882,1777922505,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
anchor-blog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,24,15,9,21%,"P2 - Follow links, low volume",24,0%,0%,0,3,4,0%,no,yes,2,0%,1756121431,1787490938,Randomly generated account subdomain — disposable link-vendor infrastructure.
bluxeblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),daily multivitamin (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,24,13,10,17%,"P2 - Follow links, low volume",24,0%,0%,0,0,2,0%,no,yes,2,0%,1765500448,1787479075,Randomly generated account subdomain — disposable link-vendor infrastructure.
onesmablog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+2 more),more info (+14 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,22,22,15,18%,"P2 - Follow links, low volume",22,0%,0%,3,3,2,0%,no,yes,3,0%,1756050654,1787486335,Free-blog-host domain used exclusively by link vendors; 22 link(s) on throwaway auto-generated accounts.
pointblog.net,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+10 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,21,21,11,19%,"P2 - Follow links, low volume",21,0%,0%,3,4,2,0%,no,yes,2,0%,1756144108,2026-08-19,Free-blog-host domain used exclusively by link vendors; 21 link(s) on throwaway auto-generated accounts.
full-design.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+3 more),website (+10 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,20,20,11,25%,"P2 - Follow links, low volume",20,0%,0%,3,5,2,0%,no,yes,4,0%,1756061497,2026-08-07,Free-blog-host domain used exclusively by link vendors; 20 link(s) on throwaway auto-generated accounts.
pages10.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+10 more),DISAVOW,Throwaway Auto-Generated Host,High,19,19,11,26%,"P2 - Follow links, low volume",19,5%,0%,0,1,2,0%,no,yes,2,0%,1756101721,1787612924,Randomly generated account subdomain — disposable link-vendor infrastructure.
bloggazza.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+9 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,10,28%,"P2 - Follow links, low volume",18,6%,0%,8,9,4,0%,no,yes,2,0%,2025-08-24,2026-08-21,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
activosblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+12 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,13,17%,"P2 - Follow links, low volume",18,11%,0%,5,7,4,0%,no,yes,2,0%,2025-09-01,2026-08-18,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
activoblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+9 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,10,28%,"P2 - Follow links, low volume",18,0%,0%,4,6,4,0%,no,yes,2,6%,1756037127,2026-07-14,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
diowebhost.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+8 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,9,22%,"P2 - Follow links, low volume",18,6%,0%,4,5,2,0%,no,yes,2,0%,1756102106,2026-08-21,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
livebloggs.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),more info (+7 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,8,28%,"P2 - Follow links, low volume",18,0%,0%,0,5,4,0%,no,yes,2,0%,1756047578,2026-08-15,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
ampblogs.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+9 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,10,28%,"P2 - Follow links, low volume",18,6%,0%,1,4,2,0%,no,yes,2,0%,1755966904,2026-08-08,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
idblogz.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),get more info (+9 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,10,22%,"P2 - Follow links, low volume",18,11%,0%,0,4,4,0%,no,yes,2,0%,1760812676,2026-08-16,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
worldblogged.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+9 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,10,17%,"P2 - Follow links, low volume",18,6%,0%,3,4,4,0%,no,yes,2,0%,1759782870,2026-08-10,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
fitnell.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),more info (+10 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,11,22%,"P2 - Follow links, low volume",18,0%,0%,0,4,2,0%,no,yes,2,0%,1755996829,2026-08-19,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
newsbloger.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,10,22%,"P2 - Follow links, low volume",18,17%,0%,0,2,4,0%,no,yes,2,0%,1755998186,1787514853,Randomly generated account subdomain — disposable link-vendor infrastructure.
bloggadores.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+12 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,13,17%,"P2 - Follow links, low volume",18,0%,0%,2,3,4,0%,no,yes,2,0%,1756001295,1787520662,Randomly generated account subdomain — disposable link-vendor infrastructure.
ampedpages.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+12 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,13,17%,"P2 - Follow links, low volume",18,6%,0%,2,3,2,0%,no,yes,2,0%,1756030372,1787584372,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
thenerdsblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+13 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,14,11%,"P2 - Follow links, low volume",18,6%,0%,0,1,4,0%,no,yes,2,0%,1756130488,1787609945,Randomly generated account subdomain — disposable link-vendor infrastructure.
tinyblogging.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+10 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,11,17%,"P2 - Follow links, low volume",18,0%,0%,1,1,2,0%,no,yes,2,0%,1756150746,1787263589,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
creacionblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),get more info (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,10,17%,"P2 - Follow links, low volume",18,6%,0%,1,3,4,0%,no,yes,2,0%,1758212617,1787568924,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogocial.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),read more (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,9,22%,"P2 - Follow links, low volume",18,6%,0%,3,3,2,0%,no,yes,2,0%,1758248105,1787589719,Randomly generated account subdomain — disposable link-vendor infrastructure.
snack-blog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+7 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,8,22%,"P2 - Follow links, low volume",18,0%,0%,0,1,4,0%,no,yes,2,0%,1759913935,1787621320,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogproducer.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,10,22%,"P2 - Follow links, low volume",18,6%,0%,0,0,4,0%,no,yes,2,0%,1760104587,1787539205,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogolenta.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),read more (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,9,22%,"P2 - Follow links, low volume",18,0%,0%,0,1,4,0%,no,yes,2,0%,1760111640,1787494259,Randomly generated account subdomain — disposable link-vendor infrastructure.
bloguetechno.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),get more info (+10 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,11,33%,"P2 - Follow links, low volume",18,0%,0%,1,3,2,0%,no,yes,2,0%,1760226444,1787614077,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogoscience.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+7 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,8,22%,"P2 - Follow links, low volume",18,0%,0%,0,0,4,0%,no,yes,2,0%,1760525716,1787380983,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogdemls.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+13 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,14,11%,"P2 - Follow links, low volume",18,6%,0%,0,0,4,0%,no,yes,2,0%,1760642905,1787483603,Randomly generated account subdomain — disposable link-vendor infrastructure.
digitollblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,9,22%,"P2 - Follow links, low volume",18,0%,0%,0,0,4,0%,no,yes,2,0%,1760746081,1787480577,Randomly generated account subdomain — disposable link-vendor infrastructure.
mybloglicious.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+7 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,8,22%,"P2 - Follow links, low volume",18,0%,0%,1,3,2,0%,no,yes,2,0%,1760831924,1776746639,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
blog-eye.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),more info (+12 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,13,22%,"P2 - Follow links, low volume",18,6%,0%,0,2,4,0%,no,yes,2,0%,1761291134,1787512126,Randomly generated account subdomain — disposable link-vendor infrastructure.
bloggin-ads.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+13 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,14,11%,"P2 - Follow links, low volume",18,6%,0%,0,2,2,0%,no,yes,2,0%,1761565686,1785820823,Randomly generated account subdomain — disposable link-vendor infrastructure.
popup-blog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),more info (+11 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,12,22%,"P2 - Follow links, low volume",18,6%,0%,0,1,4,0%,no,yes,2,0%,1761627479,1787502633,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogsidea.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+12 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,18,18,13,11%,"P2 - Follow links, low volume",18,0%,0%,1,2,4,0%,no,yes,2,0%,1762094164,1787496593,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
develop-blog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+7 more),DISAVOW,Throwaway Auto-Generated Host,High,18,18,8,22%,"P2 - Follow links, low volume",18,0%,0%,0,1,4,0%,no,yes,2,0%,1762157625,1787599669,Randomly generated account subdomain — disposable link-vendor infrastructure.
nhdtlogs.com,https://www.performancelab.com/blogs/nutrition/taking-pre-workout-with-a-testosterone-booster?srsltid=AfmBOorZwL-I5qIa8ZE9Jz3ETKSjLmBWagQF5F54ApTMqXVSs2oh1scC (+8 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,18,10,1,100%,P3 - Nofollow only (no equity passed),0,0%,100%,0,0,17149,100%,no,no,9,0%,,,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
spintheblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,10,24%,"P2 - Follow links, low volume",17,0%,0%,0,0,4,0%,no,yes,2,0%,1756096707,1787257170,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogolize.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+8 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,17,17,9,24%,"P2 - Follow links, low volume",17,6%,0%,2,4,2,0%,no,yes,2,0%,1756162521,1787595834,Free-blog-host domain used exclusively by link vendors; 17 link(s) on throwaway auto-generated accounts.
madmouseblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),read more (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,9,29%,"P2 - Follow links, low volume",17,0%,0%,1,3,4,0%,no,yes,2,0%,1756162624,1787620988,Randomly generated account subdomain — disposable link-vendor infrastructure.
blazingblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,10,18%,"P2 - Follow links, low volume",17,0%,0%,0,1,4,0%,no,yes,2,0%,1756216176,1786515663,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogsuperapp.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,9,18%,"P2 - Follow links, low volume",17,0%,0%,0,0,4,0%,no,yes,2,0%,1756232580,1787513659,Randomly generated account subdomain — disposable link-vendor infrastructure.
bloggactivo.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),read more (+12 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,13,18%,"P2 - Follow links, low volume",17,18%,0%,1,3,4,0%,no,yes,2,0%,1759593701,1787494456,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogrenanda.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+8 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,17,17,9,24%,"P2 - Follow links, low volume",17,0%,0%,0,2,4,0%,no,yes,2,0%,1759769829,1787490434,Free-blog-host domain used exclusively by link vendors; 17 link(s) on throwaway auto-generated accounts.
blogunok.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,9,35%,"P2 - Follow links, low volume",17,6%,0%,0,1,4,0%,no,yes,2,0%,1759775969,1787572436,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogsmine.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),read more (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,10,18%,"P2 - Follow links, low volume",17,6%,0%,0,1,4,0%,no,yes,2,0%,1759789785,1787514439,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogitright.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),get more info (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,10,18%,"P2 - Follow links, low volume",17,0%,0%,0,3,4,0%,no,yes,2,0%,1759830390,1787236398,Randomly generated account subdomain — disposable link-vendor infrastructure.
newbigblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+11 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,12,18%,"P2 - Follow links, low volume",17,6%,0%,0,0,4,0%,no,yes,2,0%,1760053760,1787171057,Randomly generated account subdomain — disposable link-vendor infrastructure.
fare-blog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),get more info (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,17,17,9,24%,"P2 - Follow links, low volume",17,0%,0%,0,0,4,0%,no,yes,2,0%,1762301562,1786002184,Randomly generated account subdomain — disposable link-vendor infrastructure.
booksreadr.org,https://performancelab.com/ (+4 more),nutropic.com (+3 more),DISAVOW,Link Farm / Outbound-Link Bloat,High,17,8,4,35%,"P2 - Follow links, low volume",17,0%,24%,0,0,10158,0%,no,no,5,0%,1765430168,1779359582,Average 10158 external links per source page across machine-generated URLs (100% of linking pages).
blog-gold.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),get more info (+9 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,16,16,10,19%,"P2 - Follow links, low volume",16,0%,0%,3,7,4,0%,no,yes,2,0%,1763928206,2026-07-11,Free-blog-host domain used exclusively by link vendors; 16 link(s) on throwaway auto-generated accounts.
blogprodesign.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+10 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,16,16,11,19%,"P2 - Follow links, low volume",16,12%,0%,1,5,2,0%,no,yes,2,0%,1762170424,2026-07-12,Free-blog-host domain used exclusively by link vendors; 16 link(s) on throwaway auto-generated accounts.
biohackstars.com,https://www.performancelab.com/products/mind-lab-pro (+1 more),Check Price & Availability (+3 more),DISAVOW,Sitewide Link Injection (Templated Anchor),High,16,15,4,81%,"P2 - Follow links, low volume",3,0%,6%,0,0,7,81%,no,yes,2,0%,1748557679,1781973143,Single non-branded anchor 'Check Price & Availability' repeated across 15 content pages (archive and pagination URLs excluded) — paid sitewide insertion signature.
blogpostie.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),more info (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,16,16,10,25%,"P2 - Follow links, low volume",16,0%,0%,0,2,2,0%,no,yes,2,0%,1759895674,1785889254,Randomly generated account subdomain — disposable link-vendor infrastructure.
theobloggers.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+8 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,16,16,9,19%,"P2 - Follow links, low volume",16,6%,0%,0,1,4,0%,no,yes,2,0%,1759935474,1787518801,Free-blog-host domain used exclusively by link vendors; 16 link(s) on throwaway auto-generated accounts.
myparisblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),read more (+8 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,16,16,9,19%,"P2 - Follow links, low volume",16,0%,0%,0,2,4,0%,no,yes,2,0%,1760476650,1787535858,Free-blog-host domain used exclusively by link vendors; 16 link(s) on throwaway auto-generated accounts.
bloggerswise.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+8 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,16,16,9,25%,"P2 - Follow links, low volume",16,0%,0%,0,1,4,0%,no,yes,2,0%,1761324412,1787507266,Free-blog-host domain used exclusively by link vendors; 16 link(s) on throwaway auto-generated accounts.
wssblogs.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+7 more),DISAVOW,Throwaway Auto-Generated Host,High,16,16,8,31%,"P2 - Follow links, low volume",16,0%,0%,0,0,4,0%,no,yes,2,0%,1762112814,1787625165,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogrelation.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),read more (+8 more),DISAVOW,Vendor Blog Network (Spun-Content PBN),High,16,16,9,25%,"P2 - Follow links, low volume",16,0%,0%,0,0,4,0%,no,yes,2,0%,1763455086,1787035881,Free-blog-host domain used exclusively by link vendors; 16 link(s) on throwaway auto-generated accounts.
ssnblog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+11 more),DISAVOW,Throwaway Auto-Generated Host,High,16,16,12,19%,"P2 - Follow links, low volume",16,6%,0%,1,1,4,0%,no,yes,2,0%,,,Randomly generated account subdomain — disposable link-vendor infrastructure.
ttblogs.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),here (+8 more),DISAVOW,Throwaway Auto-Generated Host,High,15,15,9,27%,"P2 - Follow links, low volume",15,0%,0%,0,0,4,0%,no,yes,2,0%,1756082300,1787475191,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogginaway.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+9 more),DISAVOW,Throwaway Auto-Generated Host,High,15,15,10,13%,"P2 - Follow links, low volume",15,0%,0%,0,4,4,0%,no,yes,2,0%,1760039947,1787443053,Randomly generated account subdomain — disposable link-vendor infrastructure.
iyublog.com,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+5 more),DISAVOW,Throwaway Auto-Generated Host,High,15,10,6,33%,"P2 - Follow links, low volume",15,0%,0%,0,1,4,0%,no,yes,2,0%,1760737453,1787500111,Randomly generated account subdomain — disposable link-vendor infrastructure.
