Referring Domain,Current Action,Proposed Action,Confidence,Ahrefs Traffic,Ahrefs Positions,Follow Links,Ahrefs is_spam,IP,Reason
slimmingtablets.co.za,NOT_AUDITED,DISAVOW,High,0,0,141,False,77.37.50.96,"141 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
primelife.plus,NOT_AUDITED,DISAVOW,High,0,0,139,False,172.67.133.56,"139 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
bestmusclesupps.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,135,True,75.98.175.91,"135 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
testosteroneboostersreview.com,NOT_AUDITED,DISAVOW,High,0,0,133,False,,"133 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
anruibio.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,132,False,37.44.245.192,"132 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
brighter-health.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,131,False,23.19.180.34,"131 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
cognitionprime.bio,REVIEW_MANUALLY,DISAVOW,High,0,0,127,False,34.174.209.111,"127 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
bacchusgamma.org,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,125,False,104.18.2.50,"125 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
ujhealthwise.com,NOT_AUDITED,DISAVOW,High,0,0,122,False,142.11.205.250,"122 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
enhancingbrain.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,118,False,104.16.243.55,"118 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
toptestosteroneboosters.co.uk,NOT_AUDITED,DISAVOW,High,0,0,115,False,75.98.175.91,"115 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
noderunners.network,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,2,2,114,True,92.63.173.179,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
reviewplayer.com,NOT_AUDITED,DISAVOW,High,0,0,112,True,18.192.108.151,"112 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
goodbrainguide.com,NOT_AUDITED,DISAVOW,High,0,0,110,False,72.167.126.202,"110 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
healthylifediet.net,NOT_AUDITED,DISAVOW,High,0,0,108,False,,"108 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
myhealthy.page,NOT_AUDITED,DISAVOW,High,0,0,106,False,192.241.154.89,"106 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
ookles.com,NOT_AUDITED,DISAVOW,High,0,0,105,True,104.21.14.189,"105 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
nutrition-and-health.info,NOT_AUDITED,DISAVOW,High,0,0,96,False,104.21.43.85,"96 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
gamersthatlift.com,NOT_AUDITED,DISAVOW,High,0,0,94,False,,"94 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
cleanleanmachine.com,NOT_AUDITED,DISAVOW,High,0,0,92,False,217.160.0.81,"92 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
cloudaicrypto.com,REVIEW_MANUALLY,DISAVOW,High,0,0,92,True,104.16.243.55,"92 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
digital-revolution.at,NOT_AUDITED,DISAVOW,High,0,0,90,True,104.21.47.65,"90 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
felens.com,NOT_AUDITED,DISAVOW,High,0,0,89,False,,"89 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
lateroundqb.com,NOT_AUDITED,DISAVOW,High,0,0,89,False,192.249.112.56,"89 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
healingplus.com,NOT_AUDITED,DISAVOW,High,0,0,86,False,104.244.124.236,"86 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
subdomainfinder.io,NOT_AUDITED,DISAVOW,High,0,0,86,True,172.67.153.71,"86 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
testosteroneboostersuk.co.uk,NOT_AUDITED,DISAVOW,High,0,0,86,True,75.98.175.91,"86 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
cataglow.com,REVIEW_MANUALLY,DISAVOW,High,0,0,83,False,104.21.10.213,"83 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
nchip.org,NOT_AUDITED,DISAVOW,High,0,0,81,False,,"81 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
diyrrhea.com,NOT_AUDITED,DISAVOW,High,0,0,80,False,,"80 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
find-products-now.com,NOT_AUDITED,DISAVOW,High,0,0,80,False,104.21.3.122,"80 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
puretestosterone.co.uk,NOT_AUDITED,DISAVOW,High,0,0,78,False,66.198.240.59,"78 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
sportnutritionexpert.com,NOT_AUDITED,DISAVOW,High,0,0,77,False,165.22.40.240,"77 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
fatlotofgood.com.au,REVIEW_MANUALLY,DISAVOW,High,0,0,70,False,198.23.213.226,"70 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
enutritionreads.com,KEEP_AFFILIATE_RETAIN,DISAVOW,High,0,0,68,False,195.179.238.13,"68 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
healthy-tips.info,NOT_AUDITED,DISAVOW,High,0,0,65,False,172.67.166.9,"65 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
health-medical.info,NOT_AUDITED,DISAVOW,High,0,0,59,False,172.67.129.232,"59 follow links from a domain with zero organic traffic and zero ranking keywords — no audience to pass real equity, consistent with a doorway/PBN footprint."
coherence.today,REVIEW_MANUALLY,DISAVOW,Medium,0,,42,True,172.67.194.220,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
diffshop.cn,NOT_AUDITED,DISAVOW,Medium,0,0,40,True,52.188.224.130,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
carefocusdaily.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,,37,True,216.150.16.65,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blog2learn.com,NOT_AUDITED,DISAVOW,Medium,0,0,28,True,172.67.163.206,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
ssnblog.com,REVIEW_MANUALLY,DISAVOW,Medium,0,,26,True,104.21.43.191,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
activablog.com,NOT_AUDITED,DISAVOW,Medium,0,0,25,True,172.67.135.97,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
dsiblogger.com,NOT_AUDITED,DISAVOW,Medium,0,0,25,True,104.21.13.87,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogoscience.com,REVIEW_MANUALLY,DISAVOW,Medium,0,0,23,True,172.67.145.98,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
digiblogbox.com,NOT_AUDITED,DISAVOW,Medium,0,0,23,True,104.21.8.81,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
naturalweightloss24.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,0,23,True,142.250.140.121,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
naxttii.shop,NOT_AUDITED,DISAVOW,Medium,0,0,23,True,185.77.97.186,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
ecomscout.com,REVIEW_MANUALLY,DISAVOW,Medium,0,0,22,True,104.26.11.26,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
prublogger.com,NOT_AUDITED,DISAVOW,Medium,0,,21,True,172.67.223.212,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
drjack.world,REVIEW_MANUALLY,DISAVOW,Medium,0,0,19,True,45.13.38.15,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
jaiblogs.com,NOT_AUDITED,DISAVOW,Medium,0,0,19,True,104.21.26.22,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
loginblogin.com,NOT_AUDITED,DISAVOW,Medium,0,0,18,True,104.21.11.221,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
mdkblog.com,NOT_AUDITED,DISAVOW,Medium,0,,18,True,172.67.181.18,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
newsblogsports.site,REVIEW_MANUALLY,DISAVOW,Medium,0,0,18,True,104.21.51.36,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
alltdesign.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,0,17,True,104.21.52.220,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
bloguetechno.com,REVIEW_MANUALLY,DISAVOW,Medium,2,3,16,True,104.21.23.177,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
eedblog.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,0,16,True,172.67.200.243,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
thelateblog.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,,16,True,104.21.1.185,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
life3dblog.com,NOT_AUDITED,DISAVOW,Medium,0,0,15,True,104.21.74.196,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
oblogation.com,NOT_AUDITED,DISAVOW,Medium,0,0,15,True,172.67.141.193,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
thebitsignal.com,REVIEW_MANUALLY,DISAVOW,Medium,0,,15,True,172.67.149.111,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
betterlife.com,KEEP_AFFILIATE_RETAIN,REVIEW_MANUALLY,Low,581,87,14,True,54.80.207.214,"Ahrefs flags this as spam, but it has 581 monthly organic visits and 87 ranking keywords. The flag conflicts with the traffic; resolve by hand rather than on the vendor score."
get-blogging.com,NOT_AUDITED,DISAVOW,Medium,0,0,14,True,172.67.128.247,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
reelmind.ai,NOT_AUDITED,DISAVOW,Medium,0,,14,True,216.150.1.1,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
theideasblog.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,,14,True,172.67.140.18,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
uzblog.net,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,1,,14,True,172.67.187.139,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
ageeksblog.com,NOT_AUDITED,DISAVOW,Medium,0,0,13,True,104.21.83.197,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogaritma.com,NOT_AUDITED,DISAVOW,Medium,0,0,13,True,172.67.194.103,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
spintheblog.com,REVIEW_MANUALLY,DISAVOW,Medium,0,,13,True,172.67.196.132,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
theblogfairy.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,,13,True,104.21.60.183,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogerreviewers.com,NOT_AUDITED,DISAVOW,Medium,0,0,12,True,172.67.215.250,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
bloggazzo.com,NOT_AUDITED,DISAVOW,Medium,0,0,12,True,104.21.69.217,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogofchange.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,0,12,True,104.21.24.158,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogzag.com,NOT_AUDITED,DISAVOW,Medium,0,0,12,True,104.21.77.143,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
collectblogs.com,NOT_AUDITED,DISAVOW,Medium,0,,12,True,172.67.190.18,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
dbblog.net,NOT_AUDITED,DISAVOW,Medium,0,0,12,True,104.21.2.156,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
ivasdesign.com,REVIEW_MANUALLY,DISAVOW,Medium,0,,12,True,104.21.49.32,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
worldvegan.co.uk,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,,12,True,104.21.79.156,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogthisbiz.com,NOT_AUDITED,DISAVOW,Medium,0,0,11,True,104.21.18.63,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
canucksupplement.com,NOT_AUDITED,DISAVOW,Medium,0,,11,True,141.193.23.11,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
thechapblog.com,NOT_AUDITED,DISAVOW,Medium,0,,11,True,172.67.187.37,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
timeblog.net,NOT_AUDITED,DISAVOW,Medium,0,,11,True,172.67.177.134,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogitright.com,REVIEW_MANUALLY,DISAVOW,Medium,0,0,10,True,104.21.81.239,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
gohealthywestpiedmont.org,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,0,10,True,195.250.26.52,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
healthyyoungamerica.org,NOT_AUDITED,DISAVOW,Medium,0,,10,True,65.181.111.238,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
helpdementia.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,,10,True,104.21.1.203,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
parkinsonsexercise.com,REVIEW_MANUALLY,DISAVOW,Medium,0,,10,True,103.21.220.76,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
review-blogger.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,,10,True,104.21.15.199,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
vidublog.com,NOT_AUDITED,DISAVOW,Medium,0,,10,True,172.67.169.129,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
alizyme.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,0,9,True,195.250.26.52,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blog5star.com,KEEP_AFFILIATE_RETAIN,DISAVOW,Medium,0,0,9,True,172.67.171.115,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogars.com,REVIEW_MANUALLY,DISAVOW,Medium,0,0,9,True,172.67.159.251,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
bloggadores.com,REVIEW_MANUALLY,DISAVOW,Medium,0,1,9,True,104.21.5.118,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
is-blog.com,NOT_AUDITED,DISAVOW,Medium,0,,9,True,172.67.139.169,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
jiliblog.com,NOT_AUDITED,DISAVOW,Medium,0,0,9,True,172.67.164.205,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
tokka-blog.com,NOT_AUDITED,DISAVOW,Medium,0,,9,True,172.67.201.165,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
angelinsblog.com,NOT_AUDITED,DISAVOW,Medium,0,0,8,True,104.21.14.2,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogdemls.com,REVIEW_MANUALLY,DISAVOW,Medium,0,0,8,True,172.67.187.19,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
blogscribble.com,NOT_AUDITED,DISAVOW,Medium,0,0,8,True,172.67.150.162,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
healthfitnessregime.com,NOT_AUDITED,DISAVOW,Medium,0,,8,True,157.173.214.121,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
kingranks.com,REVIEW_MANUALLY,DISAVOW,Medium,0,0,8,True,172.67.139.78,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
luftsi.info,REVIEW_MANUALLY,DISAVOW,Medium,0,0,8,True,34.150.90.246,Ahrefs flags the referring domain as spam and it has no meaningful organic traffic or rankings to contradict that; the audit's domain-level metrics never reached it.
