Referring Domain,Tracked Links,Affiliate IDs,Current Verdict,Current Risk Factor,Backlinks (true)
fitnell.com,2,68990cbe508aa(2),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
tkzblog.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),1
rebrand.ly,1,661e1533991c0(1),KEEP_AFFILIATE_RETAIN,None - Negligible Exposure (Risk-Triaged),5
mpeblog.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),1
getblogs.net,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),1
garagegymreviews.com,1,617d61006beb0(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,4
ng.se,1,5f4e9bd7d388a(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,6
endomondo.com,1,61359fdbb07de(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,1
magicmind.com,1,5f4e9bd7d388a(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,1
muscleandbrawn.com,1,5e0e010ab895f(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,12
blog-gold.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
fitliving.org,1,5f4e9bd7d388a(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,27
dailyblogzz.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
switchy.io,1,5dc5585e55742(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,1
blogprodesign.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
sharebyblog.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),5
livebloggs.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
blogkoo.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),4
ampblogs.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
idblogz.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
worldblogged.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),18
drugsbanks.com,1,5e9dbdd814ba6(1),KEEP_AFFILIATE_RETAIN,None - Topically Relevant Editorial / Affiliate Link,5
amoblog.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),7
pointblog.net,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),21
blogadvize.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),4
liberty-blog.com,1,68990cbe508aa(1),DISAVOW,Vendor Blog Network (Spun-Content PBN),14
