Referring Domain,Action Recommendation,Primary Risk Factor,Confidence Score,Evidence Level,Remediation Priority,Backlinks (true),Backlinks (in sample),Follow (Equity) Links,Domain ascore,IP Address,C-Block,Hosting,Country,Target URL,Anchor Text,Unique Anchors,Exact-Match Anchor %,Branded/URL Anchor %,Avg External Links,Nofollow %,Topically Relevant,First seen,Last seen,Disavow Entry,Rationale
seo-anomaly-d-10.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,59,0,,2,172.67.210.21,172.67.210.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-13,2026-08-24,domain:seo-anomaly-d-10.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
seo-anomaly-d-2.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,59,0,,2,104.21.54.15,104.21.54.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-12,2026-08-24,domain:seo-anomaly-d-2.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
seo-anomaly-d-3.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,59,0,,2,104.21.0.175,104.21.0.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-14,2026-08-22,domain:seo-anomaly-d-3.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
seo-anomaly-d-4.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,59,0,,2,104.21.9.123,104.21.9.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-12,2026-08-24,domain:seo-anomaly-d-4.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
seo-anomaly-d-9.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,58,0,,2,104.21.47.168,104.21.47.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-12,2026-08-21,domain:seo-anomaly-d-9.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
seo-anomaly-d-7.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,57,0,,2,172.67.223.207,172.67.223.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-05-12,2026-08-23,domain:seo-anomaly-d-7.xyz,One of 30 numerically-sequenced sibling domains (seo-anomaly-d-#.xyz) — machine-generated network.
baskidunyasi.net,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),45,45,0,9,185.216.113.180,185.216.113.0/24,,tr,https://www.performancelab.com/blogs/sleep/can-you-overdose-on-melatonin?srsltid=AfmBOoovyBdj3KQuXeen6kKsquYLy68bFlcoWc17b_CbDNDVIp5rZBy7 (+25 more),TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,1,0%,100%,3012,100%,no,2026-07-17,2026-07-24,domain:baskidunyasi.net,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
bloatatt.blogspot.com,DISAVOW,Sitewide Link Injection (Templated Anchor),High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),39,10,0,2,192.178.155.132,192.178.155.0/24,Google / Blogger,us,https://www.performancelab.com/blogs/wellness,testolabpro.com,1,0%,0%,13512,100%,no,2026-03-02,2026-08-23,domain:bloatatt.blogspot.com,Single non-branded anchor 'testolabpro.com' repeated across 10 content pages (archive and pagination URLs excluded) — paid sitewide insertion signature.
emegabiza.blogspot.com,DISAVOW,Sitewide Link Injection (Templated Anchor),High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),37,8,0,2,64.233.180.132,64.233.180.0/24,Google / Blogger,us,https://www.performancelab.com/blogs/wellness,testolabpro.com,1,0%,0%,13512,100%,no,2026-03-02,2026-08-23,domain:emegabiza.blogspot.com,Single non-branded anchor 'testolabpro.com' repeated across 8 content pages (archive and pagination URLs excluded) — paid sitewide insertion signature.
fagfrogs1.blogspot.com,DISAVOW,Sitewide Link Injection (Templated Anchor),High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),36,11,0,2,192.178.155.132,192.178.155.0/24,Google / Blogger,us,https://www.performancelab.com/blogs/wellness,testolabpro.com,1,0%,0%,13512,100%,no,2026-03-03,2026-08-22,domain:fagfrogs1.blogspot.com,Single non-branded anchor 'testolabpro.com' repeated across 11 content pages (archive and pagination URLs excluded) — paid sitewide insertion signature.
cytopore.blogspot.com,DISAVOW,Sitewide Link Injection (Templated Anchor),High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),32,8,0,2,64.233.180.132,64.233.180.0/24,Google / Blogger,us,https://www.performancelab.com/blogs/wellness,testolabpro.com,1,0%,0%,13512,100%,no,2026-03-02,2026-08-24,domain:cytopore.blogspot.com,Single non-branded anchor 'testolabpro.com' repeated across 8 content pages (archive and pagination URLs excluded) — paid sitewide insertion signature.
seo-cartel-10w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,172.67.209.17,172.67.209.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-13,2026-08-24,domain:seo-cartel-10w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-1w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,104.21.74.227,104.21.74.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-12,2026-08-24,domain:seo-cartel-1w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-2w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,104.21.44.40,104.21.44.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-11,2026-08-24,domain:seo-cartel-2w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-3w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,104.21.5.118,104.21.5.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-11,2026-08-24,domain:seo-cartel-3w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-4w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,172.67.221.37,172.67.221.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-10,2026-08-24,domain:seo-cartel-4w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-5w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,172.67.197.221,172.67.197.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-11,2026-08-24,domain:seo-cartel-5w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-6w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,104.21.95.49,104.21.95.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-11,2026-08-23,domain:seo-cartel-6w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-7w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,104.21.54.93,104.21.54.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-10,2026-08-24,domain:seo-cartel-7w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-8w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,172.67.160.106,172.67.160.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-11,2026-08-23,domain:seo-cartel-8w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
seo-cartel-9w.xyz,DISAVOW,Numbered Sibling Domain Network (PBN),High,Domain-level only (outside sample),P2 - Follow status unknown,30,0,,2,104.21.54.219,104.21.54.0/24,Cloudflare (shared CDN),,,,,,,,,,2026-04-12,2026-08-24,domain:seo-cartel-9w.xyz,One of 10 numerically-sequenced sibling domains (seo-cartel-#w.xyz) — machine-generated network.
retiredbrains.com,DISAVOW,Exact-Match Anchor Abuse (Sitewide Injection),High,Link-level (in 50k sample),P1 - Follow links at volume,28,28,28,26,104.21.73.138,104.21.73.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/blogs/joint-support/best-joint-supplements,choose the best joint supplement,1,100%,0%,71,0%,yes,2024-08-22,2026-08-16,domain:retiredbrains.com,Single non-branded anchor 'choose the best joint supplement' repeated across 25 content pages (archive and pagination URLs excluded) — paid sitewide insertion signature.
instantelhydraulics.com,DISAVOW,Hacked Site / Injected Link-Vendor Spam,High,Link-level (in 50k sample),P3 - Nofollow only (no equity passed),25,25,0,8,104.21.56.140,104.21.56.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/blogs/nutrition/inositol-for-men (+7 more),🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,1,0%,0%,26149,100%,no,2026-02-25,2026-03-17,domain:instantelhydraulics.com,"Anchor carries a link-vendor advertisement — the placement is an intrusion on a compromised host, not an editorial link."
biohackstars.com,DISAVOW,Sitewide Link Injection (Templated Anchor),High,Link-level (in 50k sample),"P2 - Follow links, low volume",23,16,3,8,88.223.84.234,88.223.84.0/24,,us,https://www.performancelab.com/products/mind-lab-pro (+1 more),Check Price & Availability (+3 more),4,0%,6%,7,81%,yes,2025-05-29,2026-06-20,domain:biohackstars.com,Single non-branded anchor 'Check Price & Availability' repeated across 15 content pages (archive and pagination URLs excluded) — paid sitewide insertion signature.
onesmablog.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",22,22,22,16,104.21.49.21,104.21.49.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+2 more),more info (+14 more),15,0%,0%,2,0%,yes,2025-08-24,2026-08-23,domain:onesmablog.com,Free-blog-host domain used exclusively by link vendors; 22 link(s) on throwaway auto-generated accounts.
pointblog.net,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",21,21,21,24,172.67.146.48,172.67.146.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),check here (+10 more),11,0%,0%,2,0%,yes,2025-08-25,2026-08-24,domain:pointblog.net,Free-blog-host domain used exclusively by link vendors; 21 link(s) on throwaway auto-generated accounts.
full-design.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",20,20,20,23,104.21.82.197,104.21.82.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+3 more),website (+10 more),11,0%,0%,2,0%,yes,2025-08-24,2026-08-24,domain:full-design.com,Free-blog-host domain used exclusively by link vendors; 20 link(s) on throwaway auto-generated accounts.
pages10.com,DISAVOW,Throwaway Auto-Generated Host,High,Link-level (in 50k sample),"P2 - Follow links, low volume",19,19,19,6,104.21.69.135,104.21.69.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+10 more),11,5%,0%,2,0%,yes,2025-08-25,2026-08-24,domain:pages10.com,Randomly generated account subdomain — disposable link-vendor infrastructure.
activoblog.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",18,18,18,24,172.67.188.246,172.67.188.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+9 more),10,0%,0%,4,0%,yes,2025-08-24,2026-07-29,domain:activoblog.com,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
activosblog.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",18,18,18,30,104.21.6.189,104.21.6.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+12 more),13,11%,0%,4,0%,yes,2025-09-01,2026-08-24,domain:activosblog.com,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
ampblogs.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",18,18,18,17,104.21.68.35,104.21.68.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+9 more),10,6%,0%,2,0%,yes,2025-08-23,2026-08-24,domain:ampblogs.com,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
ampedpages.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",18,18,18,20,104.21.85.7,104.21.85.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),click here (+12 more),13,6%,0%,2,0%,yes,2025-08-24,2026-08-24,domain:ampedpages.com,Free-blog-host domain used exclusively by link vendors; 18 link(s) on throwaway auto-generated accounts.
blog-eye.com,DISAVOW,Throwaway Auto-Generated Host,High,Link-level (in 50k sample),"P2 - Follow links, low volume",18,18,18,6,104.21.62.165,104.21.62.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),more info (+12 more),13,6%,0%,4,0%,yes,2025-10-24,2026-08-23,domain:blog-eye.com,Randomly generated account subdomain — disposable link-vendor infrastructure.
blog-gold.com,DISAVOW,Vendor Blog Network (Spun-Content PBN),High,Link-level (in 50k sample),"P2 - Follow links, low volume",18,16,16,21,104.21.83.248,104.21.83.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),get more info (+9 more),10,0%,0%,4,0%,yes,2025-11-17,2026-07-25,domain:blog-gold.com,Free-blog-host domain used exclusively by link vendors; 16 link(s) on throwaway auto-generated accounts.
blogdemls.com,DISAVOW,Throwaway Auto-Generated Host,High,Link-level (in 50k sample),"P2 - Follow links, low volume",18,18,18,6,104.21.92.58,104.21.92.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),website (+13 more),14,6%,0%,4,0%,yes,2025-10-16,2026-08-23,domain:blogdemls.com,Randomly generated account subdomain — disposable link-vendor infrastructure.
blogdosaga.com,DISAVOW,Throwaway Auto-Generated Host,High,Link-level (in 50k sample),P1 - Follow links at volume,18,34,34,6,104.21.84.39,104.21.84.0/24,Cloudflare (shared CDN),,https://www.performancelab.com/?a_aid=68990cbe508aa&a_bid=a2ad38c1 (+1 more),more info (+10 more),11,0%,0%,4,0%,yes,2025-10-18,2026-08-23,domain:blogdosaga.com,Randomly generated account subdomain — disposable link-vendor infrastructure.
