domain,decision,priority,strict_verdict,why,follow,aclass,example_anchor,backlink_url,authority,dr,ascore,traffic,positions,is_spam,links,ip,country,tier_reason,link_checked
appm.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://appm.us/bow-window-roof.html,0.0,0.0,0,0,0,,3,,,"dofollow, generic anchor — verify",yes
appsava.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,other,Bow Mar Littleton Colorado likewise Arts And Crafts Style Home Interiors further Frank Lloyd Wright Robie House Interior moreover Frank Lloyd Wright Style Home moreover Truck Loadi,http://appsava.us/frank/frank-lloyd-wright-prairie-style-homes,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",yes
askawayblog.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,replacement windows,https://www.askawayblog.com/2019/11/how-to-prepare-your-home-for-winter.html,27,0.0,27,0,0,,1,172.253.139.121,us,"dofollow, generic anchor — verify",yes
athomeinthefuture.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,"window installation company, North Georgia Replacement Windows",https://athomeinthefuture.com/2022/02/added-value-new-windows-worth/,20,0.0,20,0,0,,1,69.163.187.180,us,"dofollow, generic anchor — verify",yes
athomepros.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,commercial,https://www.ngwindows.com,https://www.athomepros.com/service-provider/north-georgia-replacement-windows-2/,22,0.0,22,0,0,,2,172.67.73.145,,"low-quality, no spam signal",yes
atlantabestmedia.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,ngwindows.com,https://atlantabestmedia.com/?goto=GD9VGlxNDC0OIFIoCy1aB2ZVLkg&post_id=12205,25,0.0,25,0,0,,12,104.17.46.19,,"dofollow, generic anchor — verify",yes
atlantaglow.org,REVIEW,Review (manual),confirmed,Borderline — manual check,,empty/blank,,,22,0.0,22,0,0,,1,172.66.3.8,us,"low-quality, no spam signal",no (beyond sample)
atlantahomeimprovement.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,NORTH GEORGIA REPLACEMENT WINDOWS INC.,https://atlantahomeimprovement.com/2014-fall-atlanta-home-show-guide/,25,0.0,25,0,0,,91,104.17.46.19,,"dofollow, generic anchor — verify",yes
atlantanewsdaily7.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Website,https://atlantanewsdaily7.com/businesses/window-installation-service/ng-windows,0.0,0.0,0,0,0,,2,172.67.134.199,,"low-quality, no spam signal",yes
atlantatoprated.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Visit website,https://atlantatoprated.com/biz/ng-windows/,6,0.0,6,0,0,,2,104.21.67.118,,"low-quality, no spam signal",yes
atlantaunitedsoccer.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,empty/blank,,https://www.atlantaunitedsoccer.com/Default.aspx?tabid=1178751,25,0.0,25,0,0,,1,104.17.199.145,,"dofollow, generic anchor — verify",yes
atrine.pics,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,1,188.114.97.2,,"low-quality, no spam signal",no (beyond sample)
attitudefitness.top,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,6,http://attitudefitness.top/2024/06/28/the-8-best-commercial-stair-climbers-of-2024-tested-by-our-experts/,0.0,0.0,0,0,0,,1,120.24.195.144,,"dofollow, generic anchor — verify",yes
authenticfeedback.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,https://ngwindows.com/?utm_source=GMBlisting&utm_medium=organic,https://reputation.authenticfeedback.com/ng-windows-172323810892151,18,0.0,18,0,0,,3,50.18.123.174,us,"dofollow, generic anchor — verify",yes
backan.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://backan.us/exterior-shutters-atlanta-georgia/,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
beautifultouches.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://beautifultouches.com/protecting-your-home-against-cold-weather/,17,0.0,17,0,0,,1,172.67.75.83,,"dofollow, generic anchor — verify",yes
bizhwy.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,Visit the North Georgia Replacement Windows website,http://www.bizhwy.com/visit.php?biz=5175&state=Georgia,22,0.0,22,0,0,,1,66.119.8.177,us,"dofollow, generic anchor — verify",yes
bizscoreai.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,generic,Website,https://bizscoreai.com/listing/ga/dunwoody/ng-windows/,6,0.0,6,0,0,,20,172.67.158.113,,"dofollow, generic anchor — verify",yes
bktgeorgia.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,Ngwindows.com,https://www.bktgeorgia.com/vendor-directory,16,0.0,16,0,0,,1,34.213.0.242,us,"dofollow, generic anchor — verify",yes
blogestilofeminino.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,6,,,"low-quality, no spam signal",no (beyond sample)
branded-tins.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://branded-tins.us/exterior-shutters-atlanta-georgia/,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
brightside-arabic.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,other,الستائر,https://brightside-arabic.com/inspiration-tips-and-tricks/8-nsaih-falt-tsadk-ala-mkafht-mwjat-al-hr-fy-as-syf-9583/,21,0.0,21,0,0,,1,148.113.199.75,ca,"low-quality, no spam signal",yes
brushandroller.info,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,28,,,"low-quality, no spam signal",no (beyond sample)
buckeyestateroofing.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,Knowing when to reseal your windows,https://buckeyestateroofing.com/blog/how-to-reseal-windows/,15,0.0,15,0,0,,1,104.19.154.92,,"dofollow, generic anchor — verify",yes
buildermuse.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,generic,language Website,https://buildermuse.com/suppliers/doors-windows/,19,0.0,19,0,0,,2,63.176.8.218,de,"dofollow, generic anchor — verify",yes
buytshirt.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://buytshirt.us/outside-bahama-shutters/,0.0,0.0,0,0,0,,4,,,"dofollow, generic anchor — verify",yes
cambridgetheatre.org,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,ngwindows.com,https://www.cambridgetheatre.org/bizsupporters,15,0.0,15,0,0,,1,198.185.159.145,us,"dofollow, generic anchor — verify",yes
capetownthing.co.za,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,this guide,https://www.windorpro.co.za/wood-to-aluminium-window-conversion/,3,0.0,3,0,0,,1,69.163.180.195,us,"dofollow, generic anchor — verify",yes
cdakids.org,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,empty/blank,,https://cdakids.org/about-the-cda/cda-partners/,20,0.0,20,0,0,,1,143.244.144.216,us,"dofollow, generic anchor — verify",yes
chadbryant.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.chadbryant.us/bow-window-styles.html,0.0,0.0,0,0,0,,5,,,"dofollow, generic anchor — verify",yes
chattanoogatoprated.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Visit website,https://chattanoogatoprated.com/biz/ng-windows/,0.0,0.0,0,0,0,,2,104.21.4.193,,"low-quality, no spam signal",yes
choiceviewwindows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://choiceviewwindows.com/,2,0.0,2,0,0,,3,3.33.152.147,us,own-microsite cluster,yes
cleverdude.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,"Rotting wood feels soft, spongy, or crumbly",https://www.cleverdude.com/content/the-drafty-window-sign-that-means-you-have-hidden-rot/,16,0.0,16,0,0,,1,192.124.249.70,us,"dofollow, generic anchor — verify",yes
clientsbee.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,generic,Visit,https://clientsbee.com/website/ngwindows.com/,11,0.0,11,0,0,,1,110.227.219.221,in,"dofollow, generic anchor — verify",yes
collegefootballschedule.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://collegefootballschedule.us/bow-window-styles.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
contractorsnearme.ai,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,generic,Visit Website →,https://contractorsnearme.ai/ga/roswell/north-georgia-replacement-windows,2,0.0,2,0,0,,1,104.26.5.129,,"dofollow, generic anchor — verify",yes
cqzhan.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.cqzhan.us/bow-window-roof.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
criticalopshacks.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,4,,,"low-quality, no spam signal",no (beyond sample)
crystalclearfl.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,compare the best bids before hiring the right expert,https://crystalclearfl.com/blog/how-hire-window-replacement-contractor/,9,0.0,9,0,0,,1,34.174.168.65,us,"dofollow, generic anchor — verify",yes
csswinner.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,empty/blank,,https://www.csswinner.com/category/Marketing/29/page/7,29,0.0,29,0,0,,62,128.199.173.17,sg,"low-quality, no spam signal",yes
dailyhomesafety.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,source,https://dailyhomesafety.com/how-to-measure-for-new-door-knob-and-handle/,15,0.0,15,0,0,,1,15.204.105.183,us,"dofollow, generic anchor — verify",yes
derchidoor.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,other,বায়ুৰ লিকেজ হ্ৰাস কৰে ।,https://www.derchidoor.com/as/blogs/essential-features-casement-replacement-windows-homeowners,23,0.0,23,0,0,,143,18.154.227.29,us,"low-quality, no spam signal",yes
doordesigns.space,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",no (beyond sample)
ducknest.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.ducknest.us/outside-bahama-shutters/,0.0,0.0,0,0,0,,16,,,"dofollow, generic anchor — verify",yes
dugdo.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.dugdo.us/exterior-shutters-atlanta-georgia/,0.0,0.0,0,0,0,,4,,,"dofollow, generic anchor — verify",yes
dynamix.site,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,logo,https://dynamix.site/industries/franchise-websites,23,0.0,23,0,0,,3,172.67.71.243,,"dofollow, generic anchor — verify",yes
e2windows.com,REVIEW,Review (manual),hold — verify ownership,Possibly YOUR OWN microsite — verify before disavow,dofollow,empty/blank,,http://e2windows.com/,2,0.0,2,0,0,,3,15.197.142.173,us,own-microsite cluster,yes
eastbeachvc.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.eastbeachvc.com/exterior-shutters-atlanta-georgia/,0.0,0.0,0,0,0,,4,,,"dofollow, generic anchor — verify",yes
easycoin.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,8,,,"low-quality, no spam signal",no (beyond sample)
elevatedmagazines.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://www.elevatedmagazines.com/single-post/3-surefire-means-of-improving-real-estate-value,27,0.0,27,0,0,,1,34.160.37.117,us,"dofollow, generic anchor — verify",yes
etradeads.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,generic,View Website,http://etradeads.com/b2c/etradeadsview.php?id=6339,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
excellentcontractor.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,commercial,North Georgia Replacement,https://www.excellentcontractor.com/35076/north-georgia-replacement,15,0.0,15,0,0,,3,145.223.126.72,us,"low-quality, no spam signal",yes
explosivo.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.explosivo.us/the-bow-window.html,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
facturmfg.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,generic,Visit Website,https://data.facturmfg.com/company/north-georgia-replacement-windows-659db3b4de60709c1bb3e1dc,24,0.0,24,0,0,,2,108.138.64.41,us,"dofollow, generic anchor — verify",yes
fairviewwindows.co.uk,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,https://www.ngwindows.com/holiday-front-door-decor-ideas,https://fairviewwindows.co.uk/latest-trends/choosing-the-right-door-and-window-styles-for-a-festive-home-makeover/,18,0.0,18,0,0,,1,195.200.10.150,gb,"dofollow, generic anchor — verify",yes
fallatlantahomeshow.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,generic,Visit Website,https://www.fallatlantahomeshow.com/exhibitor-list/exhibitors/detail/ng-windows/7A602B0F-A9A0-6E0A-BE1E-FF0000415D3A,20,0.0,20,0,0,,14,150.171.109.73,us,"dofollow, generic anchor — verify",yes
farmhouse40.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://www.farmhouse40.com/5-home-improvement-ideas-you-must-try-this-summer/,15,0.0,15,0,0,,1,34.160.17.71,us,"dofollow, generic anchor — verify",yes
feathermountainpress.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,3,,,"low-quality, no spam signal",no (beyond sample)
ficheroes.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,9,,,"low-quality, no spam signal",no (beyond sample)
find-address-now.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Go Now,https://www.find-address-now.com/synchrony-bank-atlanta-ga-address/,0.0,0.0,0,0,0,,1,172.67.205.208,,"low-quality, no spam signal",yes
fosser.online,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,5,104.21.14.104,,"low-quality, no spam signal",no (beyond sample)
francesc.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,Large Size,http://francesc.us/bay-or-bow-window.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
freetobuild.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,Ted Kirk & Jonathan Collum,https://freetobuild.us/,0.0,0.0,0,0,0,,1,160.153.0.4,,"dofollow, generic anchor — verify",yes
georgiarush.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,empty/blank,,https://www.georgiarush.com/Default.aspx?portalid=1210&tabid=188467,13,0.0,13,0,0,,4,104.17.197.145,,"dofollow, generic anchor — verify",yes
gmailaccountreset.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://gmailaccountreset.us/outside-bahama-shutters/,0.0,0.0,0,0,0,,4,,,"dofollow, generic anchor — verify",yes
goclward.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,empty/blank,12,https://www.goclward.com/blog-best-window-material-michigan/,24,0.0,24,0,0,,1,34.74.187.144,us,"dofollow, generic anchor — verify",yes
goodhomestyle.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,,http://goodhomestyle.com/house-full-of-windows.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
gunbuyback.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.gunbuyback.us/bow-window-styles.html,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
hannahleakirk.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,generic,READ MORE,https://www.hannahleakirk.com/writing,0.0,0.0,0,0,0,,3,,,"dofollow, generic anchor — verify",yes
herculescustomiron.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,empty/blank,1,https://www.herculescustomiron.com/decorative-wrought-iron-door/,18,0.0,18,0,0,,1,104.21.24.195,,"dofollow, generic anchor — verify",yes
homeconfig.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,8,,,"low-quality, no spam signal",no (beyond sample)
homeconstruct.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,12,,,"low-quality, no spam signal",no (beyond sample)
homepro-inspection.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,maintenance,https://www.homepro-inspection.com/blog/2023/7/10/window-screen-maintenance-tips,13,0.0,13,0,0,,1,198.49.23.144,us,"dofollow, generic anchor — verify",yes
homezex.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,12,,,"low-quality, no spam signal",no (beyond sample)
houseandhomeonline.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,empty/blank,4,https://houseandhomeonline.com/how-wide-is-a-bathroom-door/,6,0.0,6,0,0,,1,54.85.8.229,us,"low-quality, no spam signal",yes
idyllicpursuit.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://www.idyllicpursuit.com/natural-home/,19,0.0,19,0,0,,1,69.163.172.251,us,"dofollow, generic anchor — verify",yes
illatopositivo.club,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,other,tende,https://illatopositivo.club/articles/8-consigli-su-come-combattere-il-caldo-estivo-8678/,8,0.0,8,0,0,,1,148.113.199.76,ca,"low-quality, no spam signal",yes
imagcoollibrary.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",no (beyond sample)
indiarestaurant.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,Large Size,http://www.indiarestaurant.us/bow-window.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
iniact.best,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,33,188.114.96.2,,"low-quality, no spam signal",no (beyond sample)
intently.co,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,commercial,Patio Doors | NG Windows,https://intently.co/suppliers/Germany/Nuremberg/Patio+Door+Installation,19,0.0,19,0,0,,3,67.227.198.170,us,"low-quality, no spam signal",yes
iphone5scase.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://www.iphone5scase.us/bow-window-roof.html,0.0,0.0,0,0,0,,6,,,"dofollow, generic anchor — verify",yes
istarcam.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,3,,,"low-quality, no spam signal",no (beyond sample)
jeffslist.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,generic,View Website,https://jeffslist.com/dealer/north-georgia-replacement-windows/,10,0.0,10,0,0,,1,199.16.173.214,us,"dofollow, generic anchor — verify",yes
jobhiring.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://jobhiring.us/bow-window-styles.html,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
jpteacher.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,2,,,"low-quality, no spam signal",no (beyond sample)
khalifahallah.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,L,http://khalifahallah.com/bow-windows/0/bay-windows-and-bow-from-woodstock-north-devon-modern-build,0.0,0.0,0,0,0,,11,,,"dofollow, generic anchor — verify",yes
kinge.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://kinge.us/outside-bahama-shutters/,0.0,0.0,0,0,0,,4,,,"dofollow, generic anchor — verify",yes
kizi2.club,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://kizi2.club/porch-enclosure-systems.html,0.0,0.0,0,0,0,,1,,,"dofollow, generic anchor — verify",yes
ktfrps.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,nofollow,generic,Download,http://ktfrps.com/pict/bow-windows-exterior/6/bow-window-gallery,0.0,0.0,0,0,0,,1,,,"low-quality, no spam signal",yes
laguku.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,other,View large : Bedroom egress code requirements furniture high resolution,http://laguku.us/20171024124326_diy-sunroom-addition/,0.0,0.0,0,0,0,,2,,,"dofollow, generic anchor — verify",yes
legendarycorp.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,other,interior design tips,https://www.legendarycorp.com/posts/historical-beginnings-of-home-windows,15,0.0,15,0,0,,1,216.150.1.1,us,"low-quality, no spam signal",yes
lewser.pics,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,,empty/blank,,,0.0,0.0,0,0,0,,190,188.114.97.2,,"low-quality, no spam signal",no (beyond sample)
lifewithheidi.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,insulating benefits,https://www.lifewithheidi.com/6-ways-to-keep-cool-and-comfortable-in-the-baking-heat/,24,0.0,24,0,0,,1,162.248.188.100,us,"dofollow, generic anchor — verify",yes
liveonline24.us,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,empty/blank,.,http://liveonline24.us/bow-window-roof.html,0.0,0.0,0,0,0,,3,,,"dofollow, generic anchor — verify",yes
localrepairsnow.com,REVIEW,Review (manual),confirmed,Borderline — manual check,nofollow,generic,Website,https://localrepairsnow.com/places/north-georgia-replacement-windows/,13,0.0,13,0,0,,1,172.67.219.209,,"low-quality, no spam signal",yes
location.com,REVIEW,Review (manual),DOWNGRADED disavow→review (no spam signal),Low-quality / dead domain,dofollow,generic,Website,https://location.com/categories/contractors/us/ga/alpharetta/ng-windows-1582169293,6,0.0,6,0,0,,4,162.159.140.113,us,"dofollow, generic anchor — verify",yes
lombardohomegroup.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,other,energy-efficient,https://lombardohomegroup.com/blog/improve-your-initial-offers-by-making-these-changes-when-selling-your-home,8,0.0,8,0,0,,1,104.21.18.198,,"dofollow, generic anchor — verify",yes
longislandwindowsandsiding.com,REVIEW,Review (manual),confirmed,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://longislandwindowsandsiding.com/soundproofing-solutions-the-best-windows-to-block-long-island-traffic-noise/,19,0.0,19,0,0,,1,35.227.194.51,us,"dofollow, generic anchor — verify",yes
