Domain,Category,Acquisition route,Ahrefs organic traffic,Semrush AS,Links to,Status,Note
iubenda.com,Compliance tooling,Product listing,90002,48,Adyen,Competitor holds it,199 links to Adyen
nacha.org,Industry association,Product listing,,,Not checked,Profile match,Membership or participation based
emvco.com,Standards body,Product listing,,,Not checked,Profile match,Membership or participation based
recurly.com,Subscription payments peer,Partnership or integration,,40,Adyen and others,Competitor holds it,139 links to Adyen. Integration listing
splitit.com,Payments peer,Partnership or integration,,42,All four competitors,Competitor holds it,
gocardless.com,Payments peer,Partnership or integration,457119,58,Authorize.Net and others,Competitor holds it,
paddle.com,Payments peer,Partnership or integration,239429,,Authorize.Net,Competitor holds it,
nayax.com,Unattended payments peer,Partnership or integration,88580,,Authorize.Net,Competitor holds it,Direct relevance to the unattended solutions page
lightspeedhq.com,Commerce platform,Partnership or integration,200247,,Authorize.Net,Competitor holds it,
goshippo.com,Ecommerce tooling,Partnership or integration,190491,,Authorize.Net,Competitor holds it,
sendcloud.com,Ecommerce tooling,Partnership or integration,109904,,Authorize.Net,Competitor holds it,
omnisend.com,Ecommerce marketing,Partnership or integration,82857,,Authorize.Net,Competitor holds it,
klaviyo.com,Ecommerce marketing,Partnership or integration,520117,,Adyen,Competitor holds it,
bill.com,Business payments,Partnership or integration,326028,,Authorize.Net,Competitor holds it,
zoho.com,Business software suite,Partnership or integration,9611494,,Adyen and Authorize.Net,Competitor holds it,Marketplace listing
odoo.com,Business software suite,Partnership or integration,934390,,Adyen and Authorize.Net,Competitor holds it,App store listing
elementor.com,Website platform,Partnership or integration,699739,,Adyen and Authorize.Net,Competitor holds it,
mulesoft.com,Integration platform,Partnership or integration,144630,,Authorize.Net,Competitor holds it,
jitterbit.com,Integration platform,Partnership or integration,82564,,Authorize.Net,Competitor holds it,
sitecore.com,Digital experience platform,Partnership or integration,106094,,Authorize.Net,Competitor holds it,
make.com,Integration directory,Partnership or integration,,,Not checked,Profile match,Requires a built integration
workato.com,Integration directory,Partnership or integration,,,Not checked,Profile match,Requires a built integration
n8n.io,Integration directory,Partnership or integration,,,Not checked,Profile match,Requires a built integration
pipedream.com,Integration directory,Partnership or integration,,,Not checked,Profile match,Requires a built integration
indiehackers.com,Developer and founder community,Community participation,110122,54,Authorize.Net and others,Competitor holds it,Direct buyer match
ycombinator.com,Startup community,Community participation,941914,,Authorize.Net,Competitor holds it,
codepen.io,Developer community,Community participation,383161,,Authorize.Net,Competitor holds it,
codesandbox.io,Developer community,Community participation,68870,,Authorize.Net,Competitor holds it,
velog.io,Developer community,Community participation,146438,,Authorize.Net,Competitor holds it,
visa.com,Card network,Not recommended,1417846,70,All four competitors,Competitor holds it,Presence follows from a commercial relationship not outreach
paypal.com,Payments incumbent,Not recommended,29500306,,Adyen,Competitor holds it,Not acquirable through outreach
chase.com,Bank,Not recommended,11915178,,Authorize.Net,Competitor holds it,Not acquirable through outreach
stripe.com,Direct competitor,Not recommended,4548330,,Adyen,Competitor holds it,Competitor property
intuit.com,Software incumbent,Not recommended,9212347,,Adyen,Competitor holds it,Partner relationship only
w3.org,Standards body,Not recommended,262309,,Authorize.Net,Competitor holds it,Specification participation only
php.net,Language documentation,Not recommended,483990,,Authorize.Net,Competitor holds it,Not an outreach target
postgresql.org,Project documentation,Not recommended,534658,,Adyen,Competitor holds it,Not an outreach target
curl.se,Project documentation,Not recommended,72138,,Authorize.Net,Competitor holds it,Not an outreach target
oreilly.com,Publisher,Not recommended,71459,,Authorize.Net,Competitor holds it,Book citation. Not plannable
docker.com,Developer platform,Not recommended,3595382,,Adyen,Competitor holds it,Vendor documentation or partner page
jetbrains.com,Developer tooling,Not recommended,2432608,,Adyen,Competitor holds it,Vendor documentation or partner page
okta.com,Identity platform,Not recommended,1440607,,Adyen,Competitor holds it,Partner relationship only
redhat.com,Enterprise software,Not recommended,1404975,,Adyen,Competitor holds it,Partner relationship only
unity3d.com,Developer platform,Not recommended,293470,,Authorize.Net,Competitor holds it,Vendor documentation
