domain,final_verdict,confidence,note
atozbookmarks.net,TOXIC,High,Bookmark-spam PBN cluster
bestdirectoree.com,TOXIC,High,Directory-spam PBN cluster
bigweblinx.com,TOXIC,High,Directory-spam PBN cluster
bizonlinelisting.com,TOXIC,High,Listing-spam PBN cluster
brightdirectory.biz,TOXIC,High,Directory-spam PBN cluster
businesslistingforall.com,TOXIC,High,Listing-spam PBN cluster
checkthemout.biz,TOXIC,High,PBN IP cluster 64.182.26
customwebdirectori.com,TOXIC,High,Directory-spam PBN cluster
directoristorm.com,TOXIC,High,Directory-spam PBN cluster
directorylistingstrail.com,TOXIC,High,Directory-spam PBN cluster Sweden
downtownlists.com,TOXIC,High,PBN IP cluster 69.13.44
entrepreneurscruise.com,MONITOR,Low,Generic name; ambiguous not clearly spam
finestbusinesslistings.com,TOXIC,High,Listing-spam PBN cluster Sweden
gogodex.com,TOXIC,High,PBN IP cluster 64.182.74
greathub.org,TOXIC,High,PBN IP cluster 69.13.68
honestdir.com,TOXIC,High,Directory-spam PBN cluster
hubdirectory.us,TOXIC,High,Directory-spam PBN cluster
ilweb.biz,TOXIC,High,PBN IP cluster 64.182.201
knows.sbs,TOXIC,High,Spam TLD throwaway host
linkography.net,TOXIC,High,PBN IP cluster 64.182.111
listingraterhub.com,TOXIC,High,Listing-spam PBN cluster Sweden
localdirectory247.com,TOXIC,High,Directory-spam PBN cluster
locatebusiness.org,TOXIC,High,PBN IP cluster 64.182.117
mydirectori.com,TOXIC,High,Directory-spam PBN cluster
one-shop-local.com,TOXIC,High,PBN IP cluster 69.13.113
phanerosart.com,MONITOR,Low,New single-day art site; possibly legit
premiumcenter.org,TOXIC,High,PBN IP cluster 69.13.150
puredirectorylistings.com,TOXIC,High,Directory-spam PBN cluster Sweden
royalwebdirectory.net,TOXIC,High,Directory-spam PBN cluster
seekzap.net,TOXIC,High,PBN IP cluster 64.182.175
snapsearch.org,TOXIC,High,PBN IP cluster 69.13.89
submitarticle.us,TOXIC,High,Article-submission spam PBN cluster
swiftbusinesslistings.com,TOXIC,High,Listing-spam PBN cluster
thebusinessrater.com,TOXIC,High,PBN IP cluster 69.13.232
thelocalstockinc.com,TOXIC,High,PBN cluster foreign-geo Sweden
tophref.com,TOXIC,High,PBN IP cluster 64.182.94
ultimatelistpro.com,TOXIC,High,Listing-spam PBN cluster
veryimportantsites.net,TOXIC,High,PBN IP cluster 64.182.134
webeverest.co,TOXIC,High,PBN IP cluster 64.182.236
websorted.net,TOXIC,High,PBN IP cluster 64.182.56
wintraffic.org,TOXIC,High,PBN IP cluster 69.13.2
yeswecanlinks.com,TOXIC,High,Link-scheme PBN cluster
zelpstar.com,TOXIC,High,PBN IP cluster 64.182.110
zoomlistweb.com,TOXIC,High,Listing-spam PBN cluster
activepages.org,TOXIC,High,PBN IP cluster 69.13.21
rankdirectorysite.com,TOXIC,High,Directory-spam rank scheme name
all-find-local.com,TOXIC,High,PBN cluster foreign-geo Sweden
bestarticlessite.com,TOXIC,High,Article-spam PBN cluster Sweden
bizzopedia.com,TOXIC,High,PBN IP cluster 69.13.6
buddylinks.org,TOXIC,High,Link-scheme PBN cluster
clixaa.com,TOXIC,High,PBN IP cluster 64.182.30
directori.org.uk,TOXIC,High,Directory-spam PBN cluster
ebizdirectory.co,TOXIC,High,Directory-spam PBN cluster
go1800business.com,TOXIC,High,PBN IP cluster 64.182.140
idealbiz.net,TOXIC,High,PBN IP cluster 64.182.114
libyanatravel.com,TOXIC,Med,Generic foreign travel site shared cluster
listurwebsites.com,TOXIC,High,Listing-spam PBN cluster
masterwebdirectory.net,TOXIC,High,Directory-spam PBN cluster
organizedlistings.com,TOXIC,High,Listing-spam PBN cluster
primedirectory.biz,TOXIC,High,Directory-spam PBN cluster
seoplex.biz,TOXIC,High,SEO link-scheme name PBN cluster
sociablediary.com,TOXIC,High,PBN IP cluster 64.182.203
toplistedgroup.com,TOXIC,High,PBN IP cluster 64.182.145
web247listings.com,TOXIC,High,Listing-spam PBN cluster
webpowerlinks.net,TOXIC,High,Link-scheme PBN cluster
worldsbestsitez.net,TOXIC,High,PBN IP cluster 69.13.6
sportmediaset.co,TOXIC,Med,Knockoff of real sportmediaset.it shared cluster
aceoftheweb.co,TOXIC,High,PBN IP cluster 64.182.3
favemarks.net,TOXIC,High,Bookmark-spam PBN cluster
urban-listings.com,TOXIC,High,Directory-spam PBN cluster
global-rank.pages.dev,TOXIC,High,Throwaway pages.dev host shared cluster
getwebsiteworth.com,TOXIC,High,SEO tool PBN cluster foreign
allwebsitesdirectory.com,TOXIC,High,Directory-spam PBN cluster foreign
alljobs.info,TOXIC,High,PBN cluster foreign shared IP
wonvision.com,TOXIC,High,PBN cluster foreign shared IP
backlinks-checker.com,TOXIC,High,SEO link-scheme name PBN Moldova
jake.eu,TOXIC,High,PBN cluster foreign shared IP Moldova
99ranks.com,TOXIC,High,SEO rank-scheme PBN cluster
globalseodirectory.com,TOXIC,High,SEO directory scheme PBN cluster
proseoarticles.com,TOXIC,High,SEO article scheme PBN cluster
99w.im,TOXIC,High,SEO scheme spam TLD PBN cluster
alltopleveldomains.space,TOXIC,High,Spam TLD large PBN cluster
hebagh.cv,TOXIC,High,Spam TLD large PBN cluster
procycling.org,TOXIC,High,On large 35-domain PBN cluster
tyre.pro,TOXIC,High,Spam TLD large PBN cluster
yesdomains.space,TOXIC,High,Spam TLD large PBN cluster
