domain,final_verdict,confidence,note
onweblook.com,TOXIC,High,pbn cluster foreign
populardiary.com,TOXIC,High,pbn ip cluster 64.182.174
premiumlistings.co,TOXIC,High,directory spam pbn cluster
rankvanceboost.pro,TOXIC,High,seo link scheme spam tld
searchlocalbiz.org,TOXIC,High,pbn cluster foreign
shoplogist.com,TOXIC,Med,generic low authority
stablesites.org,TOXIC,High,pbn ip cluster 64.182.185
succesfinders.com,TOXIC,High,pbn ip cluster 69.13.13
takes.homes,TOXIC,High,spam tld throwaway host
thehawkdirectory.com,TOXIC,High,directory spam pbn cluster
topbizdir.com,TOXIC,High,directory spam pbn cluster
topoftheweb.org,TOXIC,High,pbn ip cluster 64.182.211
uniquewebsitez.com,TOXIC,High,pbn ip cluster 64.182.221
webalphas.org,TOXIC,High,pbn ip cluster 64.182.227
weblistings.info,TOXIC,High,directory spam pbn cluster
welkome.co,TOXIC,High,pbn ip cluster 64.182.255
worldofdirectory.com,TOXIC,High,directory spam pbn foreign
yourbusinesscenter.org,TOXIC,High,pbn ip cluster 64.182.107
zenvo.org,TOXIC,High,pbn ip cluster 64.182.111
domraider.gb.net,TOXIC,Med,subdomain host zero authority
zlymoweb.com,TOXIC,High,pbn cluster shared ip
360directory.biz,TOXIC,High,directory spam pbn cluster
atozbizlisting.com,TOXIC,High,directory spam pbn cluster
bizfocus.org,TOXIC,High,pbn ip cluster 69.13.4
bmoz.co,TOXIC,High,pbn ip cluster 64.182.30
businessontop.co,TOXIC,High,pbn ip cluster 69.13.15
craigswebdirectori.com,TOXIC,High,misspelled directory spam pbn
directorylisting.us,TOXIC,High,directory spam pbn cluster
ezarticles.us,TOXIC,High,article spam pbn foreign
hotlisting.co.uk,TOXIC,High,directory spam pbn cluster
jameslist.us,TOXIC,High,pbn ip cluster 64.182.100
linkroo.org,TOXIC,High,pbn ip cluster 64.182.112
marathiladies.com,TOXIC,Med,foreign content ip cluster
newbizlisting.com,TOXIC,High,directory spam pbn cluster
positivesites.net,TOXIC,High,pbn ip cluster 64.182.145
rozzbee.com,TOXIC,High,pbn ip cluster 69.13.126
sightquest.net,TOXIC,High,pbn ip cluster 64.182.180
superblists.com,TOXIC,High,pbn ip cluster 64.182.76
topwebfind.com,TOXIC,High,pbn ip cluster 64.182.97
webmartha.com,TOXIC,High,pbn ip cluster 64.182.4
whatuseek.biz,TOXIC,High,pbn ip cluster 64.182.249
zipbusiness.net,TOXIC,High,pbn cluster foreign
betulcrime.com,TOXIC,Med,foreign irrelevant ip cluster
bimpsy.com,TOXIC,High,pbn ip cluster 64.182.101
sharedbookmark.net,TOXIC,High,bookmark spam pbn cluster
backlinkhouse.com,TOXIC,High,buy-backlinks scheme pbn foreign
flamingos.pages.dev,TOXIC,High,throwaway pages.dev host
australianwebdirectory.com,TOXIC,High,directory spam pbn foreign
domainanalysis.org,TOXIC,High,pbn cluster shared ip 8
tunca.org,TOXIC,High,pbn cluster shared ip 9
metamagic.top,TOXIC,High,spam tld pbn cluster md
byteshort.xyz,TOXIC,High,pbn cluster foreign md
screenshots.wiki,TOXIC,High,pbn cluster foreign md
bilalarticles.com,TOXIC,High,article spam pbn shared ip 25
linkodirectory.com,TOXIC,High,directory spam pbn shared ip 25
wayseodirectory.com,TOXIC,High,seo directory scheme pbn cluster
sitesnewses.com,TOXIC,High,pbn cluster shared ip 25
corrector.in,TOXIC,High,pbn cluster foreign sg
linksnatcher.com,TOXIC,High,link scheme pbn shared ip 35
theface.in,TOXIC,High,pbn cluster foreign sg
way2check.art,TOXIC,High,spam tld pbn cluster
topleveldomains.space,TOXIC,High,spam tld pbn cluster
