domain,final_verdict,confidence,note
brilliantsites.net,TOXIC,High,PBN IP cluster 64.182
citylevels.com,TOXIC,High,Foreign PBN cluster
deluxeweblinks.com,TOXIC,High,Directory spam PBN cluster
earticles.us,TOXIC,High,Article spam foreign PBN cluster
gettraffik.com,TOXIC,High,PBN cluster traffic-scheme name
hurrahdirectory.com,TOXIC,High,Directory spam PBN cluster
kwiklinks.co,TOXIC,High,PBN cluster link-scheme name
listurwebsite.com,TOXIC,High,Submit-site spam PBN cluster
masterwebdirectori.com,TOXIC,High,Directory spam PBN cluster
onlinewebzone.com,TOXIC,High,PBN IP cluster 64.182
premiumlinx.net,TOXIC,High,PBN cluster link-scheme name
seekinformation.org,TOXIC,High,PBN IP cluster 69.13
smartlocallisting.com,TOXIC,High,Directory spam PBN cluster
topbusinesses.org,TOXIC,High,PBN IP cluster 64.182
voteit.biz,TOXIC,High,PBN IP cluster 64.182
weboga.com,TOXIC,High,PBN cluster nonsense name
worldsbestsites.biz,TOXIC,High,PBN IP cluster 69.13
tempest-ash.online,TOXIC,High,Random name spam .online TLD
a2zweblinx.com,TOXIC,High,Directory spam PBN cluster
echoz.pages.dev,TOXIC,High,Throwaway pages.dev host
thecloudherald.com,MONITOR,Low,Generic content site borderline not clearly spam
backlinkstree.com,TOXIC,High,Backlink SEO scheme foreign cluster
list.show,TOXIC,High,Foreign PBN cluster listing name
domains.com.bz,TOXIC,High,Foreign PBN cluster spam TLD
pudhe.com,TOXIC,High,Foreign PBN cluster
websitesea.com,TOXIC,High,Foreign PBN cluster
anchorurl.cloud,TOXIC,High,Anchor-link scheme large IP farm
drjack.world,TOXIC,High,Spam TLD large IP farm
websites.freemyip.com,TOXIC,High,Dynamic-DNS host large IP farm
globalseoarticles.com,TOXIC,High,SEO article spam large IP farm
prolinksdirectory.com,TOXIC,High,Directory spam large IP farm
websitesnewses.com,TOXIC,High,PBN large IP farm
1000.co.in,TOXIC,High,Foreign PBN farm IP cluster
getonline.co.in,TOXIC,High,Foreign PBN farm IP cluster
preparation.co.in,TOXIC,High,Foreign PBN farm IP cluster
topleveldomains.space,TOXIC,High,Foreign PBN farm spam TLD
webworthchecker.cv,TOXIC,High,Foreign PBN farm spam TLD
